,Article,Date,Symbol,Time,Title,Url
0,"   By Scott DiSavino  Jan 16 Southern Co's Alabama Power unit plans to run three coal power plants with a total capacity over 1,600 megawatts on cleaner natural gas fuel in the coming years to comply with federal environmental rules.Alabama Power wants to add gas capability to the four 255-megawatt Units 1-4 at the Gaston coal plant in Alabama by 2016 so they can run primarily on gas going forward.Alabama Power said it wants to add gas capability to the units to comply with the U.S. Environmental Protection Agency's Mercury and Air Toxics Standards (MATS), which requires power companies to reduce mercury and other air emissions.Since 2009, U.S. energy companies have shut or converted over 22,000 MW of coal-fired power plants. This is partly due to recently weak gas prices from record shale production making it uneconomic for generators to upgrade older and smaller coal units to meet increasingly strict federal and state environmental rules.Alabama Power's four Gaston units will still have the ability to burn coal in case of some sort of gas emergency, but the company noted it was very unlikely the units will ever burn coal again. At the other Gaston unit, the 842-MW Unit 5, Alabama Power said it is adding a baghouse in 2016 so that unit will continue to use coal.Alabama Power said it applied for the Gaston air permits with state regulators in mid 2013. In addition, Alabama Power said it expects to be running both 65-MW Units 1 and 2 at the Gadsden coal and gas plant in Alabama on natural gas in 2015. The Gadsden plant already has the capability to run on either coal or gas.Alabama Power also expects the 138-MW Unit 1, 137-MW Unit 2 and 249-MW Unit 3 at the Barry coal plant in Alabama to be running on natural gas in 2016. The company said the Barry units will lose the capability to use coal going forward.Alabama Power currently operates about 13,600 MW of generating capacity, including about 8,000 MW from coal-fired units, 2,100 MW from gas, 1,700 MW from nuclear and 1,700 MW from hydro, according to federal data.",2014-01-16,SO,"Thu Jan 16, 2014 | 12:32pm EST",Southern to repower three Alabama coal power plants with natgas,http://www.reuters.com//article/utilities-southern-alabama-idUSL2N0KP1WA20140116?type=companyNews
1,"  HOUSTON Southern Co (SO.N) Chairman Tom Fanning said on Wednesday that the company is working with the U.S. Energy Department to finalize an $8.3 billion loan guarantee for its two-reactor expansion at the Vogtle nuclear plant in Georgia, the first new reactors to be built in three decades.Southern's Georgia Power unit is leading a utility consortium that is building two 1,100-megawatt Westinghouse AP1000 reactors at a projected cost exceeding $14 billion.""After extensive negotiations on loan guarantees, Georgia power has delivered its documents to DOE,"" Fanning said on a call with analysts.While a series of steps remain to close the federal loan, Fanning said the guarantee represents about $200 million in value to Georgia Power customers who are already paying early costs for the Vogtle units. The new reactors won't begin producing power until late 2017 and late 2018, a year later than initially planned.Federal loan guarantees had been viewed as critical to the once-predicted revival of U.S. nuclear construction due to the regulatory risk and high cost of nuclear construction. Now, only a few new reactors are expected to be built due to lower natural gas prices, anemic growth in electricity demand and the lack of restrictions on emissions of carbon dioxide.The only new U.S. reactors under construction are being built by the Georgia Power consortium and SCANA Corp (SCG.N), which is building two reactors in South Carolina.The Vogtle loan guarantee, announced in 2010, was expected to be finalized in 2012, but negotiations bogged down over terms and costs and were complicated by DOE requirements added after the much-publicized bankruptcy in 2011 of solar panel maker Solyndra which had received loan guarantees. Fanning said progress on Vogtle ""is terrific.""He said construction is also going well at Mississippi Power's coal-gasification power plant in Kemper County, Mississippi. Southern added $40 million to bolster its contingency funds for the Kemper plant as its total price tag is now above $5.2 billion, according to a filing with regulators made Tuesday.Fanning said Kemper's gas turbines produced electricity in January using natural gas from its new pipeline as workers continue to install gasifier equipment which will eventually convert coal into synthesis gas to fuel the plant.""We will move towards testing of the gasifier in the second quarter,"" Fanning said.(Reporting by Eileen O'Grady in Houston; Editing by Meredith Mazzilli)",2014-01-29,SO,"Wed Jan 29, 2014 | 3:19pm EST",Southern Co working to finalize $8 billion nuclear loan guarantee,http://www.reuters.com//article/us-utilities-nuclear-southern-idUSBREA0S1VK20140129?type=companyNews
2,"  HOUSTON Jan 29 Southern Co Chairman Tom Fanning said on Wednesday that the company is working with the U.S. Energy Department to finalize an $8.3 billion loan guarantee for its two-reactor expansion at the Vogtle nuclear plant in Georgia, the first new reactors to be built in three decades.Southern's Georgia Power unit is leading a utility consortium that is building two 1,100-megawatt Westinghouse AP1000 reactors at a projected cost exceeding $14 billion.""After extensive negotiations on loan guarantees, Georgia power has delivered its documents to DOE,"" Fanning said on a call with analysts.While a series of steps remain to close the federal loan, Fanning said the guarantee represents about $200 million in value to Georgia Power customers who are already paying early costs for the Vogtle units. The new reactors won't begin producing power until late 2017 and late 2018, a year later than initially planned.Federal loan guarantees had been viewed as critical to the once-predicted revival of U.S. nuclear construction due to the regulatory risk and high cost of nuclear construction. Now, only a few new reactors are expected to be built due to lower natural gas prices, anemic growth in electricity demand and the lack of restrictions on emissions of carbon dioxide.The only new U.S. reactors under construction are being built by the Georgia Power consortium and SCANA Corp, which is building two reactors in South Carolina. The Vogtle loan guarantee, announced in 2010, was expected to be finalized in 2012, but negotiations bogged down over terms and costs and were complicated by DOE requirements added after the much-publicized bankruptcy in 2011 of solar panel maker Solyndra which had received loan guarantees.Fanning said progress on Vogtle ""is terrific.""He said construction is also going well at Mississippi Power's coal-gasification power plant in Kemper County, Mississippi. Southern added $40 million to bolster its contingency funds for the Kemper plant as its total price tag is now above $5.2 billion, according to a filing with regulators made Tuesday.Fanning said Kemper's gas turbines produced electricity in January using natural gas from its new pipeline as workers continue to install gasifier equipment which will eventually convert coal into synthesis gas to fuel the plant.""We will move towards testing of the gasifier in the second quarter,"" Fanning said.",2014-01-29,SO,"Wed Jan 29, 2014 | 3:16pm EST",UPDATE 1-Southern Co working to finalize $8 bln nuclear loan guarantee,http://www.reuters.com//article/utilities-nuclear-southern-idUSL2N0L31V320140129?type=companyNews
3,"  HOUSTON Jan 29 Southern Co Chairman Tom Fanning said on Wednesday that the company has delivered documents to the U.S. Energy Department to complete the $8.3 billion loan guarantee for its two-reactor expansion at the Vogtle nuclear plant in Georgia. The Vogtle loan guarantee was expected to be finalized in 2012, but the process bogged down over terms and costs and were  complicated by DOE requirements added after the much-publicized bankruptcy of solar panel maker Solyndra which had received loan guarantees.  ",2014-01-29,SO,"Wed Jan 29, 2014 | 1:32pm EST",Southern Co files documents to complete DOE nuclear loan guarantee,http://www.reuters.com//article/utilities-nuclear-southern-idUSL2N0L31O920140129?type=companyNews
4,"  HOUSTON Jan 28 Southern Co will take a $25 million charge in the 2013 fourth quarter as the cost for its coal-gasification power plant in Kemper County, Mississippi, climbs to more than $5 billion, the company said in a filing with regulators on Tuesday.Southern Co, based in Atlanta, is scheduled to release fourth-quarter earnings on Wednesday.Southern has previously taken $704 million in charges related to $1 billion in cost overruns at the 582-megawatt Kemper County plant, one of only two integrated gasification combined-cycle (IGCC) plants in the nation. The power industry is closely watching progress at the Kemper plant. Because it will be able to capture carbon dioxide emissions, the Kemper plant has been cited as a model for future coal design by the U.S. Environmental Protection Agency which has proposed strict limits on carbon pollution from coal-fired power plants.Southern said the latest cost increase ""reflects an increase in the contingency for risks associated with start-up activities."" Mississippi Power, Southern's smallest utility, owns the plant and can only recover up to $3.8 billion of the Kemper costs through customer rates and the sale of securitized bonds. Customers began paying higher rates related to the plant last year after a lengthy regulatory battle. At the time the plant was proposed, it was expected to cost about $2 billion.Completion of the Kemper plant has been delayed by about six months to the fourth quarter of 2014.",2014-01-29,SO,"Tue Jan 28, 2014 | 7:40pm EST",Southern Co says Kemper coal plant costs still climbing,http://www.reuters.com//article/utilities-southern-kemper-idUSL2N0L300U20140129?type=companyNews
5,"   By Valerie Volcovici | WASHINGTON  WASHINGTON Feb 12 A group of investors with combined assets of over $200 billion filed shareholder resolutions on Wednesday with ten energy companies, including Exxon Mobil and Southern Co, demanding they disclose their strategies for competing in a lower-carbon future.Led by the New York State Comptroller's office, which alone handles $160 billion in assets, the investors focused on the companies' ""carbon asset risk,"" or the potential for their carbon-intensive assets to lose value as market forces and potential regulation threaten demand for fossil fuels and related infrastructure.The move is part of an ongoing effort by some major institutional investors, coordinated by the sustainability advocacy group Ceres and the Investor Network on Climate Risk, that is focused on holding companies accountable for these so-called ""stranded assets.""The activists have been asking companies whose fortunes are linked to fossil fuels to assess under both a business-as-usual and a low-carbon scenario the risk of stranded assets and the physical risk from the impacts of climate change. ""The energy companies we invest in need to go back to the drawing board to determine the long-term financial risks that climate change poses to their business plans,"" said New York State Comptroller Thomas DiNapoli.His office also filed shareholder resolutions with Devon Energy Corp, an oil and gas producer based in Oklahoma, and the Ohio-based utility FirstEnergy Corp. The bank HSBC said in a 2013 report that the equity valuation of some oil producers could drop by 40 to 60 percent under a low-carbon scenario, in which countries take measures to reach a long-term United Nations target for lower pollution.In order for the world to achieve the UN-agreed goal of limiting global temperature increases to 2 degrees C, the International Energy Agency said last year that no more than a third of the world's proven fossil fuels can be consumed by 2050. ""These companies are producing the vast majority of climate-changing emissions and now is the time for them to reduce risk,"" said Danielle Fugere, president of As You Sow, which works on corporate social responsibility issues with companies including Coca Cola, Chevron and HP.""If they are not preparing to survive in a carbon-constrained future, we expect shareholders will sit up and take notice,"" Fugere said.In December, a report by the non-profit Climate Disclosure Project showed that many large U.S. companies, from oil majors to retailers, are including the potential for carbon emissions fees in their strategic plans.",2014-02-12,SO,"Wed Feb 12, 2014 | 10:03am EST",Investor group demands fossil fuel companies disclose carbon asset risk,http://www.reuters.com//article/usa-climate-disclosure-idUSL2N0LH0PB20140212?type=companyNews
6,"  By Ayesha RascoeWASHINGTON Feb 19 The Obama administration will finalize about $6.5 billion in loan guarantees this week for the nation's first two new nuclear reactors in three decades, ending years of delay.U.S. Energy Secretary Ernest Moniz will travel to Waynesboro, Georgia, on Thursday to mark the completion of an agreement backing the construction of two new reactors at Southern Co's Vogtle nuclear power plant, the Department of Energy announced on Wednesday.The department issued a conditional agreement for the Vogtle plant totaling $8.3 billion in 2010, offering loan aid to Southern's Georgia Power unit as well as project co-owners Oglethorpe Power and Municipal Electric Authority of Georgia (MEAG).While loan assistance to Georgia Power and Oglethorpe will be finalized, the planned $1.8 billion loan guarantee to MEAG remains outstanding. In a wide ranging speech at the National Press Club in Washington on Wednesday, Moniz said the Obama administration was committed to promoting innovations in energy technology that would help lower U.S. carbon dioxide emissions - but dodged questions on the Keystone XL pipeline and other contentious issues.Despite criticism of Energy Department's loan program after the bankruptcy in 2011 of solar panel maker Solyndra, Moniz said the federal government must not be limited to strictly funding research and development.""The need to accelerate the pace of change in response to climate change makes it essential that we continue investments ... that get the first movers out there in commercial market pushing the technology envelope,"" Moniz said. Originally expected to be finalized in 2012, the loan aid for the Vogtle expansion was held up by haggling over new conditions requested by the Obama administration in the wake of  Solyndra's failure.Solar panel maker Solyndra folded after receiving a $535 million federal loan guarantee, leading to accusations that the Energy Department had mismanaged taxpayer dollars and favored political allies in doling out funds. REVIVAL ON HOLD When it was offered four years ago, the loan deal for Vogtle was supposed to herald a new era for the U.S. nuclear power sector, which had stalled after the Three Mile Island nuclear accident in Pennsylvania in 1979.Since then, surging U.S. natural gas production, weak growth in electricity demand  and the lack of a cap on carbon emissions have dampened expectations for a nuclear renaissance.Only a few nuclear plants are expected to be built and Vogtle is the only nuclear power plant to be offered a federal loan guarantee so far.With ""substantial"" funding authority still available, Moniz did not rule out additional loan guarantees. He said the department plans to move ahead with the loan program to back deserving low-carbon projects across the energy spectrum.",2014-02-19,SO,"Wed Feb 19, 2014 | 4:05pm EST",UPDATE 1-U.S. to finalize loan guarantee for Southern Co nuclear plant,http://www.reuters.com//article/usa-nuclear-southern-idUSL2N0LO1VY20140219?type=companyNews
7,"  WASHINGTON Feb 19 The Obama administration will finalize $6.5 billion in loan guarantees this week for the country's first new nuclear reactors in three decades, U.S. Energy Secretary Ernest Moniz said on Wednesday. The loan aid will support the expansion of Southern Co's  Vogtle nuclear plant in Georgia.  ",2014-02-19,SO,"Wed Feb 19, 2014 | 1:42pm EST",U.S. to finalize loan guarantee for Southern Co nuclear plant,http://www.reuters.com//article/usa-nuclear-southern-idUSL2N0LO0XK20140219?type=companyNews
8,"   By Ayesha Rascoe | WASHINGTON  WASHINGTON The Obama administration will announce that it has finalized $6.5 billion in loan aid to build the country's first new nuclear reactors in more than 30 years, sources said on Tuesday.The announcement, expected on Wednesday, follows four years of wrangling between the government and energy company Southern Co over the terms of the loan agreement, which was initially offered in February 2010 to support the construction of two new reactors at the Vogtle nuclear plant in Georgia.The conditional agreement totaling $8.3 billion provided loan aid to Southern's Georgia Power unit as well as project co-owners Oglethorpe Power and Municipal Electric Authority of Georgia (MEAG).While loan assistance to Georgia Power and Oglethorpe will be finalized Wednesday, the $1.8 billion loan guarantee to MEAG remains outstanding.The Department of Energy said on Tuesday that U.S. Energy Secretary Ernest Moniz would make a major announcement about the administration's ""all of the above"" energy strategy and a ""path toward a low carbon energy future"" at the National Press Club on Wednesday at 12:30 p.m. EST. The department declined to comment about the specifics of the announcement.In 2010, the loan deal for Southern was expected to be the opening salvo in an emerging U.S. nuclear power renaissance. But record low natural gas prices, tepid growth in electricity demand and the lack of a federal cap on carbon emissions have kept any such revival at bay.Now only a few new reactors are projected to be built and Vogtle is the only nuclear power plant to receive a federal loan guarantee so far. Southern's drive for a loan guarantee also got caught up in the political fallout from the high profile 2011 bankruptcy of solar panel maker Solyndra, which had received a federal loan guarantee.The Obama administration added requirements after Solyndra's collapse that complicated negotiations over Southern's loan deal, which was initially expected to be finalized in 2012.Southern owns 45.7 percent of the Vogtle expansion project, making it the project's largest stakeholder. When contacted regarding the announcement on the loan guarantee, Southern reiterated comments made in January by its CEO Tom Fanning during a call with analysts after its quarterly earnings that the company had delivered its documents to the department.""Since that time, the company has been working through a series of steps that must be taken prior to closing,"" a Southern spokesman said.Southern's Georgia Power unit is leading a utility consortium that is building two 1,100-megawatt Westinghouse AP1000 reactors at a projected cost of more than $14 billion.Southern Co shares closed up 2 cents at $42.54 in Tuesday trading on the New York Stock Exchange.(Additional reporting by Valerie Volcovici in Washington and Eileen O'Grady in Houston; editing by Andre Grenon, Ros Krasny and G Crosse)",2014-02-19,SO,"Tue Feb 18, 2014 | 7:36pm EST",U.S. to announce $6.5 billion loan deal for Southern Co nuclear plant,http://www.reuters.com//article/us-usa-nuclear-loan-idUSBREA1I01O20140219?type=companyNews
9,"  By Ayesha RascoeWASHINGTON Feb 18 The Obama administration will announce that it has finalized $6.5 billion in loan aid to build the country's first new nuclear reactors in more than 30 years, sources said on Tuesday.The announcement, expected on Wednesday, follows four years of wrangling between the government and energy company Southern Co over the terms of the loan agreement, which was initially offered in February 2010 to support the construction of two new reactors at the Vogtle nuclear plant in Georgia.The conditional agreement totaling $8.3 billion provided loan aid to Southern's Georgia Power unit as well as project co-owners Oglethorpe Power and Municipal Electric Authority of Georgia (MEAG).While loan assistance to Georgia Power and Oglethorpe will be finalized Wednesday, the $1.8 billion loan guarantee to MEAG remains outstanding. The Department of Energy said on Tuesday that U.S. Energy Secretary Ernest Moniz would make a major announcement about the administration's ""all of the above"" energy strategy and a ""path toward a low carbon energy future"" at the National Press Club on Wednesday at 12:30 p.m. EST (1730 GMT).The department declined to comment about the specifics of the announcement.In 2010, the loan deal for Southern was expected to be the opening salvo in an emerging U.S. nuclear power renaissance. But record low natural gas prices, tepid growth in electricity demand and the lack of a federal cap on carbon emissions have kept any such revival at bay. Now only a few new reactors are projected to be built and Vogtle is the only nuclear power plant to receive a federal loan guarantee so far.Southern's drive for a loan guarantee also got caught up in the political fallout from the high profile 2011 bankruptcy of solar panel maker Solyndra, which had received a federal loan guarantee.The Obama administration added requirements after Solyndra's collapse that complicated negotiations over Southern's loan deal, which was initially expected to be finalized in 2012. Southern owns 45.7 percent of the Vogtle expansion project, making it the project's largest stakeholder.When contacted regarding the announcement on the loan guarantee, Southern reiterated comments made in January by its CEO Tom Fanning during a call with analysts after its quarterly earnings that the company had delivered its documents to the department.""Since that time, the company has been working through a series of steps that must be taken prior to closing,"" a Southern spokesman said.Southern's Georgia Power unit is leading a utility consortium that is building two 1,100-megawatt Westinghouse AP1000 reactors at a projected cost of more than $14 billion.Southern Co shares closed up 2 cents at $42.54 in Tuesday trading on the New York Stock Exchange.",2014-02-19,SO,"Tue Feb 18, 2014 | 7:28pm EST",UPDATE 1-U.S. to announce $6.5 bln loan deal for Southern Co nuclear plant,http://www.reuters.com//article/usa-nuclear-loan-idUSL2N0LN1NL20140219?type=companyNews
