,Article,Date,Symbol,Time,Title,Url
0,"  By Ayesha Rascoe and Timothy GardnerWASHINGTON Feb 11 The U.S. Energy Department on Tuesday approved exports from Sempra Energy's Cameron liquefied natural gas (LNG) project in Louisiana as the Obama administration moves forward with its goal of expanding the global market for the fuel.The conditional approval of exports from the terminal to countries with which the United States does not have free trade agreements, such as India and Japan, was the sixth approval by the department since 2011, and the first since mid-November.Cameron's application to export up to 1.7 billion cubic feet per day brings total U.S. authorized LNG exports to almost 8.5 bcf feet per day, once the terminals are constructed and working at full capacity.Sempra shares jumped on news the approval was expected, and in early afternoon trading were up 1.2 percent at $93.74.The latest export approval confirms that the review process is becoming ""largely depoliticized,"" said Leslie Palti-Guzman, a gas analyst for the Eurasia Group. The consulting firm predicted that permitting would ""continue unabated through 2014.""But some analysts cautioned that a pause in approvals could still be near as licensed export volumes near the threshold of 12 bcf a day considered in DOE-commissioned studies by the Energy Information Administration and NERA Economic Consulting.""We think a cautious agency may be unlikely to exceed the upper-bound of the range of studied outcomes,"" ClearView Energy Partners said in a research note. TOO FAST OR TOO SLOW? U.S. natural gas production has soared to record levels in recent years because of advanced drilling techniques, including hydraulic fracturing, or fracking. The surge in output unleashed a flood of applications to ship excess U.S. gas overseas, where it can fetch higher prices.After a nearly two-year pause in its review while studying the potential impact of exports on the domestic market, the administration resumed the permitting process in 2013. Since then the gap between decisions on applications has been as much as three months or as little as five weeks. That uneven pace of approvals has frustrated both supporters and opponents of the LNG export push.Republican lawmakers, along with Democrats representing oil and gas producing states, have pressed for much quicker processing of the more than 20 applications that remain in the government's queue.Republicans in the House of Representatives said last week that if significant progress is not made this year, they would look at crafting legislation to speed up review.An Energy Department official on Tuesday defended the agency's approach to LNG exports. ""We are doing the best we can to address these in a timely fashion,"" Paula Gant, deputy assistant secretary of energy for oil and natural gas, said at a conference for utility officials in Washington D.C.Calling the Cameron approval ""long overdue,"" incoming Senate Energy Committee chairwoman Mary Landrieu said the terminal would allow her state of Louisiana to ""compete with foreign companies in the battle for the huge international LNG market.""Landrieu's support for LNG exports differs from her predecessor at the helm of the energy committee, Ron Wyden of Oregon, who has been much more cautious on the export issue.Wyden, who this week will become chairman of the Senate Finance Committee, has been concerned that unfettered gas exports could increase fuel prices for Americans.A group of industrial companies, led by Dow Chemical, has also called for the administration to slow down on export approvals to ensure that manufacturers who have benefited from cheap gas are not hurt by possible price spikes.America's Energy Advantage, the industry coalition formed by Dow and its allies, has pointed to propane shortages this winter as an example of what could happen with natural gas supplies if unlimited exports are allowed.U.S. law allows mostly unrestricted international trade propane and refined oil products, such as gasoline.",2014-02-11,SRE,"Tue Feb 11, 2014 | 4:03pm EST",UPDATE 3-U.S. approves exports from Sempra's Cameron LNG terminal,http://www.reuters.com//article/sempra-cameron-approval-idUSL2N0LG10A20140211?type=companyNews
1,"  By Ayesha Rascoe and Timothy GardnerWASHINGTON Feb 11 The U.S. Energy Department on Tuesday approved exports from Sempra Energy's Cameron liquefied natural gas (LNG) project in Louisiana as the Obama administration moves forward with its goal of expanding the global market for the fuel.The conditional approval of exports from the terminal to countries with which the United States does not have free trade agreements, such as India and Japan, was the sixth approval by the department since 2011, and the first since mid-November.Cameron's application to export up to 1.7 billion cubic feet per day brings total U.S. authorized LNG exports to almost 8.5 bcf feet per day, once the terminals are constructed and working at full capacity.Sempra shares jumped on news the approval was expected, and in early afternoon trading were up 1.2 percent at $93.74.The latest export approval confirms that the review process is becoming ""largely depoliticized,"" said Leslie Palti-Guzman, a gas analyst for the Eurasia Group. The consulting firm predicted that permitting would ""continue unabated through 2014.""But some analysts cautioned that a pause in approvals could still be near as licensed export volumes near the threshold of 12 bcf a day considered in DOE-commissioned studies by the Energy Information Administration and NERA Economic Consulting.""We think a cautious agency may be unlikely to exceed the upper-bound of the range of studied outcomes,"" ClearView Energy Partners said in a research note. TOO FAST OR TOO SLOW? U.S. natural gas production has soared to record levels in recent years because of advanced drilling techniques, including hydraulic fracturing, or fracking. The surge in output unleashed a flood of applications to ship excess U.S. gas overseas, where it can fetch higher prices.After a nearly two-year pause in its review while studying the potential impact of exports on the domestic market, the administration resumed the permitting process in 2013. Since then the gap between decisions on applications has been as much as three months or as little as five weeks. That uneven pace of approvals has frustrated both supporters and opponents of the LNG export push.Republican lawmakers, along with Democrats representing oil and gas producing states, have pressed for much quicker processing of the more than 20 applications that remain in the government's queue.Republicans in the House of Representatives said last week that if significant progress is not made this year, they would look at crafting legislation to speed up review.An Energy Department official on Tuesday defended the agency's approach to LNG exports. ""We are doing the best we can to address these in a timely fashion,"" Paula Gant, deputy assistant secretary of energy for oil and natural gas, said at a conference for utility officials in Washington D.C.Calling the Cameron approval ""long overdue,"" incoming Senate Energy Committee chairwoman Mary Landrieu said the terminal would allow her state of Louisiana to ""compete with foreign companies in the battle for the huge international LNG market.""Landrieu's support for LNG exports differs from her predecessor at the helm of the energy committee, Ron Wyden of Oregon, who has been much more cautious on the export issue.Wyden, who this week will become chairman of the Senate Finance Committee, has been concerned that unfettered gas exports could increase fuel prices for Americans.A group of industrial companies, led by Dow Chemical, has also called for the administration to slow down on export approvals to ensure that manufacturers who have benefited from cheap gas are not hurt by possible price spikes.America's Energy Advantage, the industry coalition formed by Dow and its allies, has pointed to propane shortages this winter as an example of what could happen with natural gas supplies if unlimited exports are allowed.U.S. law allows mostly unrestricted international trade propane and refined oil products, such as gasoline.",2014-02-12,SRE,"Wed Feb 12, 2014 | 3:40am EST",RPT-UPDATE 3-U.S. approves exports from Sempra's Cameron LNG terminal,http://www.reuters.com//article/sempra-cameron-approval-idUSL2N0LH0BC20140212?type=companyNews
2,"   By Ayesha Rascoe | WASHINGTON, March 31  WASHINGTON, March 31 The U.S. environmental regulator has raised concerns that a federal review of Sempra Energy's proposed liquefied natural gas export project did not include an assessment of the potential effects of more natural gas drilling.The Environmental Protection Agency issued its finding earlier this month. It urged the Federal Energy Regulatory Commission to weigh indirect greenhouse gas emissions and other environmental effects that would flow from the increase in gas drilling needed to support exports from the Cameron plant in Louisiana.The Department of Energy approved exports from the project in February, but the plant must still get clearances from FERC.The EPA's assessment is a fresh angle in the long running debate of how much LNG the U.S. should export. FERC should ""consider the extent to which implementation of the proposed project could increase the demand for domestic natural gas extraction, as well as potential environmental impacts associated with the potential increased production of natural gas,"" the EPA said in response to the commission's draft review of the project.The finding, dated March 3, was released by FERC late on Friday.FERC has long resisted calls from environmental groups such as the Sierra Club to consider the effects of shale gas production in its review of the safety and environmental impacts of LNG export facilities. A spokeswoman said FERC would take the EPA's comments and other public input into consideration as it crafts its final environmental review, currently set for release by April 30.Energy analysts said FERC will probably decide there is no need for an extensive analysis of the indirect greenhouse gas emissions that would be caused by one LNG export project. A federal appeals court ruled in FERC's favor in 2012 in a similar case regarding Crestwood Midstream Partner's  Marc 1 natural gas pipeline. In that case, environmental groups argued that the commission should have done a more expansive review of the impact of natural gas production.""I don't think FERC will defer to Sierra Club's or EPA's issues on the upstream unless or until regulations change,"" said Christi Tezak, energy analyst for ClearView Energy Partners.The shale gas boom, spurred by advances in drilling techniques such as hydraulic fracturing, or fracking, has led to record U.S. natural gas production and paved the way for the United States to become a major gas exporter.Fracking involves injecting water, sand and chemicals underground at high pressure to extract fuel. Critics have blamed the practice for water contamination and say that increased drilling is polluting the air.   (Reporting by Ayesha Rascoe, editing by Ros Krasny and David Gregorio)",2014-03-31,SRE,"Mon Mar 31, 2014 | 6:00pm EDT",U.S. review of LNG export plant should weigh shale gas impact -EPA,http://www.reuters.com//article/sempra-cameron-environment-idUSL1N0MS0TS20140331?type=companyNews
3,"  WASHINGTON, April 2 Federal regulators should approve construction of Sempra Energy's liquefied natural gas export project by mid-June, the chair of the U.S. Senate Energy Committee said on Wednesday, arguing that the government needs to move swiftly to keep U.S. gas exports competitive.Louisiana's Mary Landrieu urged the Federal Energy Regulatory Commission to release its final environmental review of the project by April 30, as planned, and then to move forward to issue a license.The project, at Sempra's Cameron LNG terminal in Hackberry, Louisiana, won conditional approval from the U.S. Department of Energy to export LNG earlier this year, but it needs permission from FERC before construction can begin. ""We must make certain that the regulatory process for approval of LNG facilities such as (Sempra's) Cameron LNG does not disadvantage American exporters in the battle for the huge international LNG market,"" Landrieu said in a letter to FERC. Landrieu is a major advocate for her home-state project and has taken a more aggressive approach in support of gas exports than did her predecessor, Oregon's Ron Wyden, who raised concerns about unlimited gas exports and their potential to raise domestic prices, hurting the manufacturing sector. Landrieu said her office found that no significant new issues were raised in response to FERC's draft review of Cameron project, which concluded that the plant would not cause major environmental damage.Last month, the Environmental Protection Agency issued a finding that said FERC's draft report was insufficient. The EPA urged the commission to assess the impact of the increased natural gas drilling that would be needed to support gas exports before releasing its final review.        (Reporting by Ayesha Rascoe; Editing by Ros Krasny and Steve Orlofsky)",2014-04-02,SRE,"Wed Apr 2, 2014 | 5:30pm EDT",Key U.S. senator urges FERC to approve Sempra LNG project by June,http://www.reuters.com//article/usa-energy-sempra-lng-idUSL1N0MU0ZB20140402?type=companyNews
4,"  (Adds details, context)April 30 Sempra Energy moved a step closer to building its proposed Cameron liquefied natural gas plant in Louisiana, after U.S. energy regulators completed a required environmental report for the project, the Federal Energy Regulatory Commission said on Wednesday.In the environmental impact statement, FERC said its staff concluded the adverse environmental impacts of the project ""would be reduced to less-than-significant levels with the implementation of proposed minimization and mitigation measures and the additional measures recommended by the FERC staff.""The project, at Sempra's Cameron LNG terminal in Hackberry, Louisiana, won conditional approval earlier this year from the U.S. Department of Energy to export LNG, but it needs permission from FERC before construction can begin. Final approval from FERC is expected this summer and building is expected to begin later this year, Sempra said in a statement.  The push toward LNG has been bolstered by a surge in U.S. shale gas production expected to allow the country to become a net exporter of gas in 2018.The proposed facility will have the capacity to export about 12 million tons of LNG per year, or about 1.7 billion cubic feet per day. In addition to the liquefaction plant, the project will also include storage facilities, 21 miles of 42-inch-diameter pipeline and a compressor station.Cameron is one of several LNG export facilities under development in the United States. San Diego-based Sempra has said it expects the facility to enter service in 2019.       (Reporting by Scott DiSavino, editing by G Crosse)",2014-04-30,SRE,"Wed Apr 30, 2014 | 12:24pm EDT",UPDATE 1-Sempra's Cameron LNG plant passes FERC environmental test,http://www.reuters.com//article/utilities-sempra-ener-lng-cameron-idUSL2N0NM1H920140430?type=companyNews
5,"  April 30 Sempra Energy moved a step closer to building its proposed Cameron liquefied natural gas plant after federal energy regulators completed a needed environmental report for the project, the U.S. Federal Energy Regulatory Commission said Wednesday. (Reporting by Scott DiSavino)  ",2014-04-30,SRE,"Wed Apr 30, 2014 | 11:28am EDT",Sempra Louisiana Cameron LNG plant passes FERC environmental test,http://www.reuters.com//article/utilities-sempra-ener-lng-cameron-idUSL2N0NM1BL20140430?type=companyNews
6,"  (Adds Sempra statement paragraph 5 and details from order)By Ayesha RascoeWASHINGTON, June 19 U.S. regulators on Thursday approved Sempra Energy's  bid to build a liquefied natural gas export terminal in Louisiana, opening the door to a significant expansion of the American role in global gas trade.Sempra's Cameron LNG facility was the second gas export project to get the green light to begin construction from the Federal Energy Regulatory Commission and the first since 2012, when FERC permitted Cheniere's Sabine Pass project.With the FERC approval in hand, Cameron will likely soon receive its final permit from the Energy Department allowing the facility to export gas to all countries, which would make it the only project outside of Sabine Pass fully licensed at the federal level.The Energy Department issued a conditional export permit for Cameron in February, contingent upon the project receiving a construction license from FERC. ""Today's approval is another important step in delivering natural gas to America's trading partners abroad,"" Debra Reed, chief executive of Sempra Energy, said in a statement.Cameron, Sabine Pass and more than two dozen other projects are in a race to sell relatively cheap, abundant U.S. shale gas to foreign countries where it can fetch higher prices. A vocal coalition of heavy industrial companies, led by Dow Chemical, has argued that this push for gas exports could raise domestic energy prices and hurt the economy if left unchecked.But many Republicans and some Democrats from gas-producing states have pressed for federal regulators to move quickly to issue decisions on applications, warning that the United States could lose out to other countries such as Qatar and Australia seeking to export natural gas.Companies must receive approval from FERC regarding the safety and environmental impact of their projects before they can begin construction. The commission's order required Sempra to comply with more than 75 conditions to mitigate the project's effects on the surrounding area.The Energy Department determines whether requests to export LNG to countries without free trade agreements with the United States are in the national interest.Sempra shares, which posted record highs on Wednesday and early Thursday in anticipation of FERC approval, were near steady at $104.10 in midday U.S. trading.Approval of the Cameron project comes as FERC's review process faces greater public scrutiny. An Energy Department proposal made in May, currently out for public comment, would require companies to have a construction license from FERC before DOE will act on their export applications.     (Editing by Jonathan Oatis and Grant McCool)",2014-06-19,SRE,"Thu Jun 19, 2014 | 12:32pm EDT",UPDATE 2-U.S. energy regulator approves Sempra LNG export project,http://www.reuters.com//article/usa-ferc-lng-idUSL2N0P00PO20140619?type=companyNews
7,"  WASHINGTON, June 19 U.S. regulators on Thursday approved Sempra Energy's  bid to build a liquefied natural gas export terminal in Louisiana, opening the door to a significant expansion of the U.S role in global gas trade. Sempra's Cameron LNG facility is the first gas export project to get the green light to begin construction since the Federal Energy Regulatory Commission permitted Cheniere's  Sabine Pass project in 2012.   (Reporting by Ayesha Rascoe; Editing by Jeffrey Benkoe)  ",2014-06-19,SRE,"Thu Jun 19, 2014 | 10:35am EDT",US FERC approves Sempra's Cameron LNG export project,http://www.reuters.com//article/usa-ferc-lng-idUSL2N0OZ1A420140619?type=companyNews
8,"  (Adds background, comment from Senator Hoeven)By Ayesha RascoeWASHINGTON, Sept 10 The U.S. Energy Department on Wednesday approved liquefied natural gas exports from two projects, as lawmakers pressed the administration to move quickly to clear a backlog of applications to ship gas abroad.Sempra Energy's Cameron LNG facility in Louisiana and Carib Energy's small-scale export project in Florida are the first projects to receive final permits from the department to export gas to non-free-trade-agreement countries since Cheniere's Sabine Pass project was approved in 2012.Until now Sabine Pass was the only project fully permitted at the federal level.The Federal Energy Regulatory Commission granted the $10 billion Cameron project a construction license in June after it was issued a conditional export permit by the Energy Department earlier in the year. With the final permit from the Energy Department, the Cameron facility will be able to export up to 1.7 billion cubic feet of natural gas a day for up to 20 years.Cameron, Sabine Pass and more than two dozen other projects have lined up to sell gas overseas. Companies and some lawmakers have complained the department's process has moved too slowly, with the agency pausing application reviews for nearly two years to examine the economic implications of the LNG exports.A vocal coalition of heavy industrial companies, led by Dow Chemical, has argued that the push for gas exports could raise domestic energy prices and hurt the economy if left unchecked. Lawmakers from oil- and gas-producing states welcomed the latest approvals. Senator John Hoeven, of North Dakota, said the orders issued today were a step in the right direction but more must be done.""You need a dependable, rational and certain process for approval,"" Hoeven told Reuters. Hoeven, who has introduced legislation setting a deadline for the department to act on applications, said there is broad support in Congress to address the issue. He said he expects Congress will pass a bill next year expediting the LNG export review process.Facing pressure from Congress, the Energy Department revamped its review process last month, doing away with conditional approvals.The Carib project was approved under this new process, which allows the department to issue decisions on applications only after federal environmental reviews are completed.An environmental review was waived for Carib LNG, a subsidiary of Crowley Maritime Corp, because the exports would be coming from a natural gas liquefaction facility that's already undergone the necessary assessments.Carib's small operation would move up to 0.04 billion cubic feet a day of gas in LNG shipping containers to countries in the Caribbean and Central and South America.   (Reporting by Ayesha Rascoe; Editing by Meredith Mazzilli and James Dalgleish)",2014-09-10,SRE,"Wed Sep 10, 2014 | 5:08pm EDT","UPDATE 1-U.S. approves LNG exports from Sempra, Carib Energy projects",http://www.reuters.com//article/usa-lng-exports-idUSL1N0RB1XC20140910?type=companyNews
9,"  WASHINGTON, Sept 10 The U.S. Energy Department on Wednesday approved liquefied natural gas exports from Sempra Energy's project in Louisiana and Carib Energy's project in Florida. These are the first projects to receive final permits from the department to export gas to countries without free trade agreements with United States since Cheniere's Sabine Pass project was approved in 2012.   (Reporting by Ayesha Rascoe; Editing by Meredith Mazzilli)  ",2014-09-10,SRE,"Wed Sep 10, 2014 | 2:16pm EDT","U.S. approves LNG exports from Sempra, Carib Energy projects",http://www.reuters.com//article/usa-lng-exports-idUSL1N0RB1TR20140910?type=companyNews
