,Article,Date,Symbol,Time,Title,Url
0,"  * Expects 2nd-qtr adjusted profit/shr $0.59 vs est $0.57* Expects 2nd-qtr revenue $470 mln vs est $460.5 mln* 1st-qtr adj profit/shr $0.67 vs est $0.66* 1st-qtr rev $505.2 mln vs est $500 mln* Shares up 9 pct in extended tradingJan 16 Chipmaker Skyworks Solutions Inc  reported a 44 percent jump in quarterly profit, helped by increased demand for its analog chips used to connect machines and devices to the Internet, and forecast second-quarter profit above estimates.Skyworks shares rose 9 percent in extended trading. The company, whose radio frequency chips connect smartphones and tablets to a network, said it expects second-quarter adjusted earnings of 59 cents per share on revenue of $470 million.Analysts on average were expecting earnings of 57 cents per share on revenue of $460.5 million, according to Thomson Reuters I/B/E/S.Machine-to-machine connectivity, more commonly known as the ""Internet of Things,"" is a network where a natural or man-made object has an IP address and can transfer data over a network. The technology helps in detecting oil drill sites, controlling traffic, monitoring cars and allowing medical personnel to keep track of health of patients.Skyworks counts Apple Inc's largest contract manufacturer Foxconn Technology Group, Ericsson and Cisco Systems Inc among its customers.The company's net income rose to $94.5 million, or 49 cents per share, in the first quarter ended Dec. 27 from $66.5 million, or 34 cents per share, a year earlier. Excluding some items, Skyworks earned 67 cents per share.Revenue rose 11 percent to $505.2 million for the company, which competes with Peregrine Semiconductor Co, Avago Technologies Ltd and Analog Devices Inc.Analysts had expected earnings of 66 cents per share on revenue of $500 million.The company's adjusted gross margin expanded to 44.5 percent from 43 percent.Shares of Skywork closed at $28.62 on the Nasdaq.",2014-01-16,SWKS,"Thu Jan 16, 2014 | 5:32pm EST",UPDATE 1-Chipmaker Skyworks forecasts profit above estimates,http://www.reuters.com//article/skyworks-results-idUSL3N0KQ54920140116?type=companyNews
1,"  Chipmaker Skyworks Solutions Inc's (SWKS.O) quarterly profit rose 44 percent, helped by higher demand for analog chips used to connect machines and devices to the Internet.The company's net income rose to $94.5 million, or 49 cents per share, in the first quarter ended December 27 from $66.5 million, or 34 cents per share, a year earlier. Revenue rose 11 percent to $505.2 million.  (Reporting by Sampad Patnaik; Editing by Kirti Pandey)",2014-01-16,SWKS,"Thu Jan 16, 2014 | 4:54pm EST",Chipmaker Skyworks profit rises 44 pct,http://www.reuters.com//article/us-skyworks-results-idUSBREA0F1T320140116?type=companyNews
2,"  Jan 16 Chipmaker Skyworks Solutions Inc's  quarterly profit rose 44 percent, helped by higher demand for analog chips used to connect machines and devices to the Internet.The company's net income rose to $94.5 million, or 49 cents per share, in the first quarter ended Dec. 27 from $66.5 million, or 34 cents per share, a year earlier.  Revenue rose 11 percent to $505.2 million. ",2014-01-16,SWKS,"Thu Jan 16, 2014 | 4:51pm EST",Chipmaker Skyworks profit rises 44 pct,http://www.reuters.com//article/skyworks-results-idUSL3N0KN3R320140116?type=companyNews
3,  NEW YORK Jan 16 Skyworks Solutions Inc :  * Shares were up 7.3 percent after the bell following results   ,2014-01-16,SWKS,"Thu Jan 16, 2014 | 4:35pm EST",BRIEF-Skyworks Solutions shares up 7.3 percent after the bell following results,http://www.reuters.com//article/skyworkssolutions-brief-idUSWEN00C5F20140116?type=companyNews
4,"   By Aurindom Mukherjee  Chipmaker Skyworks Solutions Inc's second-quarter results and current-quarter forecast beat Wall Street estimates, helped by strong sales of chips used to connect machines to the Internet.Shares of the company, whose radio frequency analog chips connect electronic devices to a network, rose 12 percent in extended trading on Tuesday.Machine-to-machine connectivity, more commonly known as the ""Internet of Things"", allows machines on both wired and wireless networks to interact, with its uses ranging from detecting oil drill sites to medical personnel tracking patients' health.Skyworks, whose chips connect smartphones and tablets to a telecom network, expects revenue from Samsung Electronics Co Ltd to rise this year, driven by the use of its chips in the South Korean company's wide range of smartphones, including the successful Galaxy S5.""As we look beyond 2014 we are starting to now engage early with the Galaxy S6,"" Executive Vice President Liam Griffin said on a conference call.Besides Samsung, Skyworks also supplies chips to Apple Inc's largest contract manufacturer, Foxconn Technology Group. Skyworks is not only benefiting from higher orders from handset makers but also from the growth of internet connected devices, or the ""Internet of Things"", RBC Capital Markets analyst Doug Freedman said.Among other devices, the company's chips are used in Volkswagen AG's luxury division Audi's HomeLink programmable car system, allowing users to open and close garage door from their car.Skyworks is ""set to substantially outpace the broader semiconductor industry as we capitalize on increasing analog system complexity driven by the Internet of Things,"" Skyworks CEO David Aldrich said in a statement. The company, whose chips are also used in e-book readers and LED lighting, forecast current-quarter adjusted earnings of 73 cents per share on a 23 percent rise in revenue to $535 million.Analysts on average were expecting earnings of 63 cents per share on revenue of $488.2 million, according to Thomson ReutersI/B/E/S.  The company's net income rose to $76.9 million, or 40 cents per share, in the second quarter ended March 28, from $61.7 million, or 32 cents per share, a year earlier.Excluding one-time items, profit was 62 cents per share, above the average analyst estimate of 59 cents.Revenue rose 13 percent to $481.0 million, also beating analysts' average estimate of $470.2 million.Skyworks shares were up 12 percent at $41.38 in trading after the bell. They closed at $37.02 in regular trading on the Nasdaq.(Reporting By Aurindom Mukherjee in Bangalore; Editing by Savio D'Souza)",2014-04-22,SWKS,"Tue Apr 22, 2014 | 6:51pm EDT",Chipmaker Skyworks forecasts upbeat quarter; shares up 12 pecrent,http://www.reuters.com//article/us-skyworks-results-idUSBREA3L1NW20140422?type=companyNews
5,"  * Second quarter results beat analysts' average estimate* Third quarter profit, revenue forecast beats estimate* In early talks with Samsung to supply chips for Galaxy S6* Shares rise as much as 12 pct in extended trading   (Adds company executive, analyst comments, background; updates share price)By Aurindom MukherjeeApril 22 Chipmaker Skyworks Solutions Inc's  second-quarter results and current-quarter forecast beat Wall Street estimates, helped by strong sales of chips used to connect machines to the Internet.Shares of the company, whose radio frequency analog chips connect electronic devices to a network, rose 12 percent in extended trading on Tuesday. Machine-to-machine connectivity, more commonly known as the ""Internet of Things"", allows machines on both wired and wireless networks to interact, with its uses ranging from detecting oil drill sites to medical personnel tracking patients' health.Skyworks, whose chips connect smartphones and tablets to a telecom network, expects revenue from Samsung Electronics Co Ltd  to rise this year, driven by the use of its chips in the South Korean company's wide range of smartphones, including the successful Galaxy S5.""As we look beyond 2014 we are starting to now engage early with the Galaxy S6,"" Executive Vice President Liam Griffin said on a conference call.Besides Samsung, Skyworks also supplies chips to Apple Inc's  largest contract manufacturer, Foxconn Technology Group. Skyworks is not only benefiting from higher orders from handset makers but also from the growth of internet connected devices, or the ""Internet of Things"", RBC Capital Markets analyst Doug Freedman said.Among other devices, the company's chips are used in Volkswagen AG's luxury division Audi's HomeLink programmable car system, allowing users to open and close garage door from their car.Skyworks is ""set to substantially outpace the broader semiconductor industry as we capitalize on increasing analog system complexity driven by the Internet of Things,"" Skyworks CEO David Aldrich said in a statement. The company, whose chips are also used in e-book readers and LED lighting, forecast current-quarter adjusted earnings of 73 cents per share on a 23 percent rise in revenue to $535 million.Analysts on average were expecting earnings of 63 cents per share on revenue of $488.2 million, according to Thomson Reuters I/B/E/S.The company's net income rose to $76.9 million, or 40 cents per share, in the second quarter ended March 28, from $61.7 million, or 32 cents per share, a year earlier.Excluding one-time items, profit was 62 cents per share, above the average analyst estimate of 59 cents.Revenue rose 13 percent to $481.0 million, also beating analysts' average estimate of $470.2 million.Skyworks shares were up 12 percent at $41.38 in trading after the bell. They closed at $37.02 in regular trading on the Nasdaq.   (Reporting By Aurindom Mukherjee in Bangalore; Editing by Savio D'Souza)",2014-04-22,SWKS,"Tue Apr 22, 2014 | 6:49pm EDT",UPDATE 2-Chipmaker Skyworks forecasts upbeat quarter; shares up 12 pct,http://www.reuters.com//article/skyworks-results-idUSL3N0NE4H220140422?type=companyNews
6,"  April 22 Chipmaker Skyworks Solutions Inc  forecast third-quarter results above Wall Street estimates on strong sales of analog chips used to connect machines to the Internet.The company's shares rose about 8 percent to $40.90 in extended trading. Skyworks, whose analog chips are used in e-book readers, cable modems and LED lighting, forecast current-quarter adjusted earnings of 73 cents per share, on revenue of $535 million. Analysts on average were expecting earnings of 63 cents per share on revenue of $488.2 million, according to Thomson Reuters I/B/E/S. Machine-to-machine connectivity, more commonly known as the ""Internet of Things"", allows machines on both wired and wireless networks to interact with one other.   (Reporting By Aurindom Mukherjee in Bangalore; Editing by Savio D'Souza)",2014-04-22,SWKS,"Tue Apr 22, 2014 | 4:54pm EDT","Chipmaker Skyworks forecasts strong 3rd-qtr, shares jump",http://www.reuters.com//article/skyworks-results-idUSL3N0NE4GA20140422?type=companyNews
7,"  * Semiconductors rally; Skyworks lifts outlook* CBOE VIX ends up but well below historical average* Dow off 0.1 pct; S&P 500 down 0.04 pct; Nasdaq off 0.1 pct   (Updates to close)By Angela MoonNEW YORK, June 3 U.S. stocks dipped in thin volume on Tuesday, with the Dow and the S&P 500 retreating from Monday's record closing levels as traders found few reasons to buy following a string of gains. A rise in semiconductor companies' shares limited losses.About half of the 10 primary S&P 500 sector indexes were down for the day, led by telecom, which fell 1 percent. Monday marked the Dow's second straight record closing high, while it was the third consecutive record close for the S&P 500. However, recent advances were made on light volume, indicating that the rally has lacked conviction.On Tuesday, the Dow Jones industrial average fell 21.29 points or 0.13 percent, to end at 16,722.34. The S&P 500  inched down just 0.73 of a point or 0.04 percent, to 1,924.24. The Nasdaq Composite dropped 3.12 points or 0.07 percent, to 4,234.08.Google Inc shares fell 1.7 percent to $544.51, weighing on the Nasdaq. The CBOE Volatility Index rose for a second straight day, up 2.5 percent, though it remained under 12, well below the historical average of 20. While the level of the VIX indicates a lack of fear in the market, some investors are concerned that it also reflects a sense of complacency.""We can't seem to get a decent pullback here as there isn't any momentum to the downside. Every time the market goes down, it is met with buying,"" said Peter Cardillo, chief market economist at Rockwell Global Capital in New York.Semiconductor stocks ranked among the market's leaders, with the PHLX semiconductor index up 0.9 percent. The sector rallied after Skyworks Solutions Inc raised its earnings and revenue outlook, driving its stock up 6 percent to $45.65. Broadcom Corp, up 3 percent at $35.88, also gave chipmakers a lift. Automakers attracted attention after both General Motors Co  and Ford Motor Co reported May sales that topped expectations. GM shares rose 1.1 percent to $35.26. Ford's stock gained 0.7 percent to $16.55.Hillshire Brands shares rose 9.5 percent to $58.65 after poultry producer Pilgrim's Pride Corp raised its offer to buy Hillshire, known for its Jimmy Dean sausages, and topped an offer from poultry rival Tyson Foods Inc. Hillshire said it would talk with both parties.Pilgrim's stock fell 2.2 percent to $25.34. Tyson dropped 3 percent to $42.08.In the latest economic data, April factory orders rose 0.7 percent, topping forecasts.Trading volume was light at around 5.1 billion shares on U.S. exchanges, below last month's average of 5.75 billion, according to data from BATS Global Markets.   (Reporting by Angela Moon; Editing by Nick Zieminski and Jan Paschal)",2014-06-03,SWKS,"Tue Jun 3, 2014 | 4:52pm EDT","US STOCKS-Wall St ends a bit lower a day after Dow, S&P set records",http://www.reuters.com//article/markets-usa-stocks-idUSL1N0OK1WZ20140603?type=companyNews
8,"  * Dow, S&P 500 ended at records on Monday* Semiconductors rally; Skyworks lifts outlook* Dow off 0.1 pct; S&P 500 flat; Nasdaq off 0.1 pct   (Updates to late afternoon)By Angela MoonNEW YORK, June 3 U.S. stocks were little changed on Tuesday, with the Dow and the S&P 500 near Monday's record closing levels as traders found few reasons to buy following a string of gains, though a rise in semiconductor companies' shares limited losses.By late afternoon, half of the 10 primary S&P 500 sector indexes were down for the day, led by telecom, which fell 1 percent. Monday marked the Dow's second straight record closing high, while it was the third consecutive record close for the S&P 500. However, recent advances were made on light volume, indicating that the rally has lacked conviction.The Dow Jones industrial average fell 18.41 points or 0.11 percent, to 16,725.22, the S&P 500 lost 1.05 points or 0.05 percent, to 1,923.92 and the Nasdaq Composite  dropped 3.79 points or 0.09 percent, to 4,233.41.Google Inc shares fell 1.6 percent to $545.04 and weighed on the Nasdaq. The CBOE Volatility Index rose for a second straight day, up 2.4 percent, though it remains under 12, well below the historical average of 20. While the current level of the VIX indicates a lack of fear in the market, some investors are concerned that it also reflects a sense of complacency.""We can't seem to get a decent pullback here as there isn't any momentum to the downside. Every time the market goes down, it is met with buying,"" said Peter Cardillo, chief market economist at Rockwell Global Capital in New York. Semiconductor stocks ranked among the market's leaders, with the PHLX semiconductor index up 0.9 percent. The sector rallied after Skyworks Solutions Inc raised its earnings and revenue outlook, driving its stock up 5.4 percent to $45.41. Broadcom Corp also gave a boost to chipmakers, up 3 percent at $35.86.Automakers attracted attention after both General Motors Co  and Ford Motor Co reported May sales that topped expectations. GM shares rose 0.9 percent to $35.16. Ford's stock was up 0.7 percent to $16.55.Hillshire Brands shares rose 9.3 percent to $58.56 after poultry producer Pilgrim's Pride Corp increased its offer to buy Hillshire, known for its Jimmy Dean sausages, and topped an offer from poultry rival Tyson Foods Inc. Hillshire said it would talk with both parties.Pilgrim's stock fell 1.7 percent to $25.47. Tyson dropped 2.1 percent to $42.51.In the latest economic data, April factory orders rose 0.7 percent, topping forecasts.    (Reporting by Angela Moon; Editing by Nick Zieminski)",2014-06-03,SWKS,"Tue Jun 3, 2014 | 3:43pm EDT",US STOCKS-Wall St trims earlier losses; S&P flat near record,http://www.reuters.com//article/markets-usa-stocks-idUSL1N0OK1QE20140603?type=companyNews
9,"  * Dow, S&P 500 ended at records on Monday* Semiconductors rally; Skyworks lifts outlook* Pilgrim's raises buyout offer for Hillshire* Dow off 0.2 pct; S&P 500 down 0.1 pct; Nasdaq off 0.3 pct   (Updates to midday; adds automakers' shares and auto sales)By Ryan VlastelicaNEW YORK, June 3 U.S. stocks edged lower on Tuesday, with the Dow and the S&P 500 receding from Monday's record closing levels as traders found few reasons to buy following a string of gains, though a rise in semiconductor companies' shares limited losses.The day's slight losses were broad, with eight of the 10 primary S&P 500 sector indexes down for the day, led by telecom , which fell 0.6 percent. Slightly more than 60 percent of stocks traded on both the New York Stock Exchange and the Nasdaq fell on the day. Monday marked the Dow's second straight record closing high, while it was the third consecutive record close for the S&P 500. However, recent advances were made on light volume, indicating that the rally has lacked conviction.""Valuations are elevated, and therefore anything that looks soft gives the market pause,"" said Mark Luschini, chief investment strategist at Janney Montgomery Scott in Philadelphia. ""Recent data has collectively suggested things are decent, which is fertile for stocks, though more in the long-term than right now.""The Dow Jones industrial average fell 25.75 points or 0.15 percent, to 16,717.88. The S&P 500 slipped 2.57 points or 0.13 percent, to 1,922.40. The Nasdaq Composite  dropped 11.51 points or 0.27 percent, to 4,225.69. Google Inc shares fell 1.8 percent to $554.44 and weighed on the Nasdaq.The CBOE Volatility Index rose for a second straight day, up 3.2 percent, though it remains under 12, well below the historical average of 20. While the current level of the VIX indicates a lack of fear in the market, some investors are concerned that it also reflects a sense of complacency.Semiconductor stocks ranked among the market's leaders, with the PHLX semiconductor index up 0.6 percent. The sector rallied after Skyworks Solutions Inc raised its earnings and revenue outlook, driving its stock up 5.4 percent to $45.41. Broadcom Corp also gave a boost to chipmakers, up 3 percent at $35.87. Automakers attracted attention after both General Motors Co  and Ford Motor Co reported May sales that topped expectations. GM shares rose 0.9 percent to $35.16. Ford's stock shot up 0.7 percent to $16.55.Hillshire Brands shares rose 9.1 percent to $58.45 after poultry producer Pilgrim's Pride Corp increased its offer to buy Hillshire, known for its Jimmy Dean sausages, and topped an offer from poultry rival Tyson Foods Inc. Hillshire said it would conduct talks with both parties.Pilgrim's stock fell 1.7 percent to $25.47. Tyson dropped 2.1 percent to $42.51.Element Financial Corp agreed late Monday to buy PHH Corp's auto fleet leasing business for about $1.4 billion in cash. Shares of PHH slid 7.1 percent to $23.46.In the latest economic data, April factory orders rose 0.7 percent, topping the growth forecast of 0.5 percent for orders, excluding transportation.    (Editing by Bernadette Baum, Nick Zieminski and Jan Paschal)",2014-06-03,SWKS,"Tue Jun 3, 2014 | 1:13pm EDT","US STOCKS-Dow, S&P 500 dip from record levels, but semis jump",http://www.reuters.com//article/markets-usa-stocks-idUSL1N0OK14E20140603?type=companyNews
