,Article,Date,Symbol,Time,Title,Url
0,"  FRANKFURT Jan 14 U.S. aerospace components maker Transdigm and European buyout groups Cinven  and EQT are all exploring an acquisition of cargo handler Telair in a potential $700-800 million deal, two people familiar with the transaction said.Aviation support company AAR Corp has asked for final bids for its Germany-headquartered business by late January or early February, the sources said.U.S. industrial conglomerate Honeywell and aviation firm Triumph are also considering making final bids for Telair, one of the sources said.Telair has annual core earnings (EBITDA) of about $70 million and the company could fetch more than ten times that, the sources said. Previously, sources had said that Telair may be valued at up to $1 billion in a potential sale.Telair's workers fear that a sale to an industry  player may cause severe job cuts as seen after TransDigm's acquisition of a Telair unit in 2010, an employee representative said. Telair, Honeywell, Cinven and EQT declined to comment, while Transdigm and Triumph were not available for comment.Previously owned by Teleflex, Telair was sold to AAR along with Nordisk Aviation Products in 2011 for a combined $280 million. Telair designs, manufactures and supports on-board baggage and cargo systems, such as its ""Sliding Carpet"" device, for companies including Airbus and Boeing.Since the 2011 acquisition Telair has bought Germany's PFW Aerospace, boosting its loading-system assets.Telair's low capital expenditure and ability to free up cash quickly makes it attractive to private equity bidders, sources familiar with the asset have said.     (Reporting by Arno Schuetze; editing by Keith Weir)",2015-01-14,TDG,"Wed Jan 14, 2015 | 4:49am EST","U.S. groups, private equity line up bids for cargo handler Telair - sources",http://www.reuters.com//article/telair-ma-idUSL6N0US3P520150114?type=companyNews
1,"  AAR Corp (AIR.N) said it would sell its cargo handling business, Telair Cargo Group, to TransDigm Group Inc (TDG.N) for $725 million in cash to focus on its aviation services business.AAR, which provides services to U.S. government and commercial clients, also said on Monday that it intended to sell its unprofitable precision systems manufacturing business.The company warned that results in the quarter ending Feb. 28 would be less than expected due to costs associated with the sale of Telair and with bids for large government contracts as well as fewer flying positions in its airlift operations.AAR said the quarter would include an impairment charge of about $40 million related to the discontinuation of the precision systems business. A fall in sales to defense customers led to AAR posting lower revenue in the year ended May 31, the first decline in four years.The company's revenue has missed market estimates for four of the past six quarter. Citi is AAR's financial adviser and Winston & Strawn LLP is its legal adviser. They will also serve as advisers on the sale of the precision systems manufacturing business.Shares of AAR had risen 8.37 pct in the last 12 months through Friday's close of $29.91. The shares were untraded premarket on Monday. TransDigm's shares were also untraded premarket on Monday from their Friday close of $213.73. (Reporting by Radhika Rukmangadhan in Bengaluru; Editing by Ted Kerr and Savio D'Souza)",2015-02-23,TDG,"Mon Feb 23, 2015 | 9:23am EST",AAR to sell cargo handling business to TransDigm for $725 million,http://www.reuters.com//article/us-aar-m-a-transdigm-group-idUSKBN0LR17L20150223?type=companyNews
2,"  Feb 23 AAR Corp said it would sell its cargo handling business, Telair Cargo Group, to TransDigm Group Inc for $725 million in cash to focus on its aviation services business.AAR, which provides services to U.S. government and commercial clients, also said on Monday that it intended to sell its unprofitable precision systems manufacturing business.The company warned that results in the quarter ending Feb. 28 would be less than expected due to costs associated with the sale of Telair and with bids for large government contracts as well as fewer flying positions in its airlift operations.AAR said the quarter would include an impairment charge of about $40 million related to the discontinuation of the precision systems business. A fall in sales to defense customers led to AAR posting lower revenue in the year ended May 31, the first decline in four years. The company's revenue has missed market estimates for four of the past six quarter.Citi is AAR's financial adviser and Winston & Strawn LLP is its legal adviser. They will also serve as advisers on the sale of the precision systems manufacturing business. Shares of AAR had risen 8.37 pct in the last 12 months through Friday's close of $29.91. The shares were untraded premarket on Monday.TransDigm's shares were also untraded premarket on Monday from their Friday close of $213.73.   (Reporting by Radhika Rukmangadhan in Bengaluru; Editing by Ted Kerr and Savio D'Souza)",2015-02-23,TDG,"Mon Feb 23, 2015 | 9:21am EST",UPDATE 1-AAR to sell cargo handling business to TransDigm for $725 mln,http://www.reuters.com//article/aar-ma-transdigm-group-idUSL4N0VX2X820150223?type=companyNews
3,"  Feb 23 Aviation services provider AAR Corp  said it would sell its cargo handling business, Telair Cargo Group, to TransDigm Group Inc for $725 million in cash. AAR also said it intended to sell its money-losing precision systems manufacturing business and would record a related charge of about $40 million in the third quarter of 2015.     (Reporting by Radhika Rukmangadhan in Bengaluru; Editing by Ted Kerr)  ",2015-02-23,TDG,"Mon Feb 23, 2015 | 8:37am EST",AAR to sell cargo handling business to TransDigm for $725 mln,http://www.reuters.com//article/aar-ma-transdigm-group-idUSL4N0VX2V020150223?type=companyNews
4,"  May 10 Transdigm Group Inc* TransDigm Group Inc sees 2016 net sales to be in range of $3,151 million to $3,181 million* TransDigm Group Inc sees 2016 earnings per share to be in range of $9.89 to $10.13 per share based upon weighted average shares outstanding of 56.2 million* TransDigm Group Inc sees 2016 adjusted earnings per share to be in range of $11.04 to $11.28 per share * Fy2016 earnings per share view $10.82 -- Thomson Reuters I/B/E/S* TransDigm Group reports fiscal 2016 second quarter results * Q2 adjusted earnings per share $2.86 * Q2 earnings per share $2.47* Q2 sales $796.8 million versus I/B/E/S view $777.1 million* Q2 earnings per share view $2.58 -- Thomson Reuters I/B/E/S  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1 646 223 8780)",2016-05-10,TDG,"Tue May 10, 2016 | 7:25am EDT",BRIEF-TransDigm Group reports Q2 adj. earnings per share $2.86,http://www.reuters.com//article/idUSASC08ODA?type=companyNews
5,"  Aircraft components maker TransDigm Group Inc (TDG.N) said on Tuesday it would buy ILC Holdings Inc from private equity firm Behrman Capital for $1 billion to expand its spare parts business.ILC is the parent of Data Device Corp (DDC), which supplies power control and databus products to the global military and commercial aerospace markets.Databuses help connect internal components of a computer. DDC's products are used in aircraft such as such as F-18 fighters, C-130 Hercules transports, Boeing's (BA.N) 787 and 777X passenger planes and Airbus's (AIR.PA) A350XWB. The company's main plant is in Bohemia, New York.TransDigm said DDC is expected to have revenue of more than $200 million in 2016, with about 75 percent coming from the defense market and the rest from the commercial aircraft market. Cleveland-based TransDigm makes cockpit security components and systems, aircraft audio systems and ignition systems for military and commercial aircraft. The deal is expected to close before the end of fiscal 2016, TransDigm said. (Reporting by Ankit Ajmera in Bengaluru; Editing by Ted Kerr)",2016-05-24,TDG,"Tue May 24, 2016 | 8:53am EDT",Aircraft parts maker TransDigm to buy ILC Holdings for $1 billion,http://www.reuters.com//article/us-ilc-holdings-m-a-transdigm-group-idUSKCN0YF1MN?type=companyNews
6,"  Aircraft components maker TransDigm Group Inc (TDG.N) said on Tuesday it would buy ILC Holdings Inc from private equity firm Behrman Capital for $1 billion to expand its spare parts business.ILC is the parent of Data Device Corp (DDC), which supplies power control and databus products to the global military and commercial aerospace markets.Databuses help connect internal components of a computer. DDC's products are used in aircraft such as such as F-18 fighters, C-130 Hercules transports, Boeing's (BA.N) 787 and 777X passenger planes and Airbus's (AIR.PA) A350XWB. The company's main plant is in Bohemia, New York.TransDigm said DDC is expected to have revenue of more than $200 million in 2016, with about 75 percent coming from the defense market and the rest from the commercial aircraft market. Cleveland-based TransDigm makes cockpit security components and systems, aircraft audio systems and ignition systems for military and commercial aircraft. The deal is expected to close before the end of fiscal 2016, TransDigm said. (Reporting by Ankit Ajmera in Bengaluru; Editing by Ted Kerr)",2016-05-24,TDG,"Tue May 24, 2016 | 8:53am EDT",UPDATE 1-Aircraft parts maker TransDigm to buy ILC Holdings for $1 bln,http://www.reuters.com//article/ilc-holdings-ma-transdigm-group-idUSL3N18L3ST?type=companyNews
7,  May 24 Transdigm Group Inc : * Behrman Capital to sell portfolio company Data Device Corporation to TransDigm group for $1 billion  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1-646-223-8780)  ,2016-05-24,TDG,"Tue May 24, 2016 | 8:26am EDT",BRIEF-Behrman Capital to sell Data Device Corp to TransDigm for $1 bln,http://www.reuters.com//article/idUSFWN18L056?type=companyNews
8,"  May 24 Aircraft components maker TransDigm Group Inc said on Tuesday it would buy ILC Holdings Inc from private equity firm Behrman Capital for $1 billion in cash. ILC Holdings is the parent of Data Device Corp, which supplies databus and power supply products to the global military and commercial aerospace markets.    (Reporting by Ankit Ajmera in Bengaluru; Editing by Ted Kerr)  ",2016-05-24,TDG,"Tue May 24, 2016 | 8:19am EDT",TransDigm to buy ILC Holdings for $1 bln,http://www.reuters.com//article/ilc-holdings-ma-transdigm-group-idUSL3N18L3RO?type=companyNews
9,"  May 24 Transdigm Group Inc :* Expects to finance acquisition through a combination of cash on hand, existing availability under our revolving credit facility and new debt * DDC revenues are anticipated to be over $200 million for fiscal year ending December 2016 * Total purchase price of $1.0 billion in cash * Transdigm to acquire data device corporation  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1-646-223-8780)",2016-05-24,TDG,"Tue May 24, 2016 | 8:16am EDT",BRIEF-Transdigm to acquire Data Device Corporation,http://www.reuters.com//article/idUSASC08R0B?type=companyNews
