,Article,Date,Symbol,Time,Title,Url
0,"  Swiss electronics company TE Connectivity (TEL.N) said it would buy sensor maker Measurement Specialties Inc MEAS.O for about $1.7 billion, including debt, to grab a bigger slice of the high-growth global sensor market.TE Connectivity – formerly Tyco Electronics, which split from Tyco International Ltd TYC.N in 2007 – said it expects the global sensor market to grow 8 percent to $116 billion by 2019.Measurement Specialties makes sensors that measure temperature, pressure, acceleration, or humidity in vehicles, home appliances, and airplanes among others.TE's offer of $86 per share for each Measurement Specialties share represents a premium of a little over 10 percent to the stock's closing price on Wednesday. Measurement Specialties' stock rose in after-hours trading to trade slightly higher than the offer price, while TE's shares were largely unchanged from their close of $61.94. The deal is worth $1.37 billion, excluding debt, based on 15.9 million Measurement Specialties shares outstanding as of May 21.TE got 41 percent of its 2013 revenue from its business that makes electronic parts as well as brake and speed sensors for the auto industry.Measurement Specialities' revenue increased 19 percent to $412.7 million for the year ending March 31, 2014. TE said it expects adjusted profit to rise in the mid-single digits in the first year after the deal is completed.It expects to fund the deal through cash and additional debt and expects it to close in calendar 2014.         TE's financial advisers were Citi and Centerview Partners LLC and legal counsel was Davis Polk & Wardwell LLP.Barclays was the financial adviser for Hampton, Virginia-based Measurement Specialties, while DLA Piper was outside counsel. (Reporting by Ankit Ajmera in Bangalore; Editing by Simon Jennings and Savio D'Souza)",2014-06-18,TEL,"Wed Jun 18, 2014 | 5:56pm EDT",TE Connectivity to buy sensor maker for $1.7 billion,http://www.reuters.com//article/us-measurementspecialties-offer-idUSKBN0ET2SI20140618?type=companyNews
1,"  (Adds details, background)June 18 Swiss electronics company TE Connectivity said it would buy sensor maker Measurement Specialties Inc for about $1.7 billion, including debt, to grab a bigger slice of the high-growth global sensor market.TE Connectivity - formerly Tyco Electronics, which split from Tyco International Ltd in 2007 - said it expects the global sensor market to grow 8 percent to $116 billion by 2019.Measurement Specialties makes sensors that measure temperature, pressure, acceleration, or humidity in vehicles, home appliances, and airplanes among others.TE's offer of $86 per share for each Measurement Specialties share represents a premium of a little over 10 percent to the stock's closing price on Wednesday. Measurement Specialties' stock rose in after-hours trading to trade slightly higher than the offer price, while TE's shares were largely unchanged from their close of $61.94.The deal is worth $1.37 billion, excluding debt, based on 15.9 million Measurement Specialties shares outstanding as of May 21. TE got 41 percent of its 2013 revenue from its business that makes electronic parts as well as brake and speed sensors for the auto industry.Measurement Specialities' revenue increased 19 percent to $412.7 million for the year ending March 31, 2014. TE said it expects adjusted profit to rise in the mid-single digits in the first year after the deal is completed.It expects to fund the deal through cash and additional debt and expects it to close in calendar 2014.TE's financial advisers were Citi and Centerview Partners LLC and legal counsel was Davis Polk & Wardwell LLP.Barclays was the financial adviser for Hampton, Virginia-based Measurement Specialties, while DLA Piper was outside counsel.   (Reporting by Ankit Ajmera in Bangalore; Editing by Simon Jennings and Savio D'Souza)",2014-06-18,TEL,"Wed Jun 18, 2014 | 5:54pm EDT",UPDATE 1-TE Connectivity to buy sensor maker for $1.7 bln,http://www.reuters.com//article/measurementspecialties-offer-idUSL4N0OZ4DI20140618?type=companyNews
2,"  June 18 TE Connectivity, a maker of switches and sensors, said it would buy Measurement Specialties Inc, which makes precision sensors and sensor-based systems, for about $1.7 billion including debt, to strengthen its sensor-making business. TE's offer of $86 per Measurement share represents a premium of 10.25 percent to Measurement's closing price on Wednesday.    (Reporting by Ankit Ajmera in Bangalore; Editing by Simon Jennings)  ",2014-06-18,TEL,"Wed Jun 18, 2014 | 4:40pm EDT",TE Connectivity to buy Measurement Specialties for $1.7 bln,http://www.reuters.com//article/measurementspecialties-offer-idUSL4N0OZ4BP20140618?type=companyNews
3,"  Swiss electronics company TE Connectivity TEL.N said it would buy U.S.-based sensor maker Measurement Specialties Inc MEAS.O for about $1.7 billion, including debt, to grab a bigger slice of the high-growth global sensor market.TE Connectivity was formerly known as Tyco Electronics, which split from Tyco International Ltd TYC.N in 2007. The company said it expects the global sensor market will grow to $116 billion by 2019 from $80 billion this year.TE, which makes pressure and position sensors for the automotive and aerospace industries, said the size of the global market for its products is about $4 billion to $5 billion.Measurement Specialties, based in Hampton, Virginia, makes sensors that measure temperature, pressure, acceleration or humidity for the industrial, medical and consumer appliance markets.TE said that buying Measurement Specialties would give the combined company a shot at a worldwide sensor market worth about $40 billion.""All of a sudden, (the deal) gives TE a significantly great amount of breadth in the sensor family,"" said Amitabh Passi, a San Francisco-based analyst at UBS Equities. The deal would help its sensor business grow to $800 million in revenue annually from $200 million now, according to TE. The company reported revenue of $13.28 billion in fiscal 2013.TE's acquisition of Measurement Specialties follows a deal by Amphenol Corp APH.N, which makes fiber optic cables and related devices, to buy General Electric's GE.N advanced sensors business for about $318 million late last year.TE's offer of $86 per share for each Measurement Specialties share represents a premium of a little over 10 percent to the stock's closing price on Wednesday. Measurement Specialties' stock surged 10.34 percent in after-hours trading to $86.07, while TE Connectivity's stock dipped 0.2 percent to $61.81.The deal is worth $1.37 billion, excluding debt, based on Measurement Specialties' 15.9 million shares outstanding as of May 21.Measurement Specialties' revenue increased 19 percent to $412.7 million for the year ending March 31, 2014. TE said it expects adjusted profit to rise in the mid-single digits, or 4 cents to 6 cents per share, in the first year after the deal is completed.The Swiss company plans to fund the deal through cash and additional debt. TE expects the deal to close in calendar 2014.TE's financial advisers were Citi and Centerview Partners LLC; legal counsel was Davis Polk & Wardwell LLP.Barclays was the financial adviser for Measurement Specialties, while DLA Piper was outside counsel. (Reporting by Ankit Ajmera in Bangalore; Editing by Simon Jennings, Savio D'Souza and Jan Paschal)",2014-06-19,TEL,"Wed Jun 18, 2014 | 9:22pm EDT",TE Connectivity to buy sensor maker for $1.7 billion,http://www.reuters.com//article/us-measurementspecialties-offer-idUSKBN0ET2SI20140619?type=companyNews
4,"  * Deal worth $1.37 bln, excluding debt* TE sees adj profit up 4 cents to 6 cents a share in first year after deal* Forecasts sensor business revenue to grow by $600 mln a year   (Adds background on the sensor business, analyst's comment)June 18 Swiss electronics company TE Connectivity said it would buy U.S.-based sensor maker Measurement Specialties Inc for about $1.7 billion, including debt, to grab a bigger slice of the high-growth global sensor market.TE Connectivity was formerly known as Tyco Electronics, which split from Tyco International Ltd in 2007. The company said it expects the global sensor market will grow to $116 billion by 2019 from $80 billion this year.TE, which makes pressure and position sensors for the automotive and aerospace industries, said the size of the global market for its products is about $4 billion to $5 billion.Measurement Specialties, based in Hampton, Virginia, makes sensors that measure temperature, pressure, acceleration or humidity for the industrial, medical and consumer appliance markets.TE said that buying Measurement Specialties would give the combined company a shot at a worldwide sensor market worth about $40 billion. ""All of a sudden, (the deal) gives TE a significantly great amount of breadth in the sensor family,"" said Amitabh Passi, a San Francisco-based analyst at UBS Equities.The deal would help its sensor business grow to $800 million in revenue annually from $200 million now, according to TE. The company reported revenue of $13.28 billion in fiscal 2013.TE's acquisition of Measurement Specialties follows a deal by Amphenol Corp, which makes fiber optic cables and related devices, to buy General Electric's advanced sensors business for about $318 million late last year. TE's offer of $86 per share for each Measurement Specialties share represents a premium of a little over 10 percent to the stock's closing price on Wednesday.Measurement Specialties' stock surged 10.34 percent in after-hours trading to $86.07, while TE Connectivity's stock dipped 0.2 percent to $61.81.The deal is worth $1.37 billion, excluding debt, based on Measurement Specialties' 15.9 million shares outstanding as of May 21.Measurement Specialties' revenue increased 19 percent to $412.7 million for the year ending March 31, 2014. TE said it expects adjusted profit to rise in the mid-single digits, or 4 cents to 6 cents per share, in the first year after the deal is completed.The Swiss company plans to fund the deal through cash and additional debt. TE expects the deal to close in calendar 2014.TE's financial advisers were Citi and Centerview Partners LLC; legal counsel was Davis Polk & Wardwell LLP.Barclays was the financial adviser for Measurement Specialties, while DLA Piper was outside counsel.(Reporting by Ankit Ajmera in Bangalore; Editing by Simon Jennings, Savio D'Souza and Jan Paschal)",2014-06-19,TEL,"Wed Jun 18, 2014 | 9:18pm EDT",UPDATE 2-TE Connectivity to buy U.S. sensor maker for $1.7 bln,http://www.reuters.com//article/measurementspecialties-offer-idUSL4N0OZ4DI20140619?type=companyNews
5,"  Swiss electronics company TE Connectivity Ltd is said to be nearing a deal to sell its network equipment unit to CommScope Holding Co Inc for about $3 billion, the Wall Street Journal reported, citing people familiar with the matter.The deal does not include the networking business' subsea fiber optics operation, which is used by telecom and oil and gas customers, the Journal reported. (on.wsj.com/15DwGGm)The business for sale, called Network Solutions, had net sales of $2.92 billion, or nearly 21% of the company's total, for the year ended Sept. 26, 2014. The deal could be announced as soon as this week, assuming it doesn't fall apart at the last minute, the WSJ report said.   (Reporting By Sai Sachin R in Bengaluru; Editing by Grant McCool)",2015-01-26,TEL,"Mon Jan 26, 2015 | 6:51pm EST",TE Connectivity nears deal to sell network business to CommScope: WSJ,http://www.reuters.com//article/us-te-connectiv-m-a-commscope-holdg-idUSKBN0KZ2NA20150126?type=companyNews
6,"  Jan 26 Swiss electronics company TE Connectivity Ltd is said to be nearing a deal to sell its network equipment unit to CommScope Holding Co Inc for about $3 billion, the Wall Street Journal reported, citing people familiar with the matter.The deal does not include the networking business' subsea fiber optics operation, which is used by telecom and oil and gas customers, the Journal reported. (on.wsj.com/15DwGGm) The business for sale, called Network Solutions, had net sales of $2.92 billion, or nearly 21% of the company's total, for the year ended Sept. 26, 2014.  The deal could be announced as soon as this week, assuming it doesn't fall apart at the last minute, the WSJ report said.   (Reporting By Sai Sachin R in Bengaluru; Editing by Grant McCool)",2015-01-26,TEL,"Mon Jan 26, 2015 | 6:48pm EST",TE Connectivity nears deal to sell network business to CommScope -WSJ,http://www.reuters.com//article/te-connectiv-ma-commscope-holdg-idUSL4N0V55SR20150126?type=companyNews
7,"  (Corrects date in dateline to Jan. 27 from Jan. 26)Jan 27 The following corporate finance-related stories were reported by media:* Swiss electronics company TE Connectivity Ltd is said to be nearing a deal to sell its network equipment unit to CommScope Holding Co Inc for about $3 billion, the Wall Street Journal reported, citing people familiar with the matter.* Activist investor Elliott Management disclosed an 8 percent stake in enterprise software maker Informatica Corp  in a filing on Monday, and may push for the company to be sold, according to a person familiar with the matter. * Books are covered for the stock market listing of Spanish airport group Aena, two sources close to the deal said on Monday, after strong demand for the shares in the first day of ""roadshow"" meetings with investors.* Turkish Airlines is in negotiations to obtain 10 or more Airbus A380 jets in a deal potentially worth $4 billion based on a direct purchase at catalogue prices, two people familiar with the matter said.* Google will announce the launch of its high-speed fiber-optic Internet service in Atlanta, Charlotte, N.C., Raleigh-Durham, N.C. and Nashville, Tenn. in coming days, the Wall Street Journal reported citing two people familiar with the situation. (on.wsj.com/15N9sOF) * Polish billionaire Zbigniew Jakubas is in talks to sell his 40 percent stake worth about $116 million in railway carriages producer Newag, the Puls Biznesu daily said on Monday, quoting an unnamed source. * In a surprise turn of events, state-owned Oil and Natural Gas Corporation Ltd has agreed to its partner, Cairn India Ltd, retaining the prolific Rajasthan oil block beyond the contractual deadline of 2020, without any condition, the Business Standard reported citing sources with direct knowledge of the development. (bit.ly/1H2COsR)* Mobile advertising network InMobi has entered into discussions with several marquee investors, including some of the world's biggest sovereign wealth funds and internet companies, to raise its next significant round of funding, the Economic Times reported citing at least two people with knowledge of developments. (bit.ly/1DcMw62)For the deals of the day click onFor the Morning News Call-EMEA newsletter click on      (Compiled by Luke Koshi in Bengaluru)",2015-01-27,TEL,"Tue Jan 27, 2015 | 1:53am EST",REFILE-Market Chatter- Corporate finance press digest,http://www.reuters.com//article/market-chatter-idUSL4N0V61RP20150127?type=companyNews
8,"   By Supantha Mukherjee and Kshitiz Goliya  Telecom equipment maker CommScope Holding Co Inc  said it would buy nearly all of Swiss electronics firm TE Connectivity's network gear business for about $3 billion to expand in Europe and Asia.The deal comes at a time when operators are increasing their spending on mobile and fixed networks to improve coverage and boost capacity to keep up with rising data traffic from video and smartphones.TE Connectivity, which split from Tyco International Ltd  in 2007, said the unit generated revenue of about $1.9 billion in the year ended Sept. 26. The business makes fiber optic cables and network switches. The acquisition does not include the unit's subsea fiber optics operation, which is used by telecom and oil and gas customers.The deal will help CommScope expand in overseas markets. The company gets about 55 percent of its sales from the United States, according to Thomson Reuters data. TE Connectivity gets about 80 percent of its sales from non-U.S. markets.The deal, expected to close by the end of 2015, will add more than 20 percent to CommScope's adjusted earnings by the end of the first full-year after closing, the company said in a statement. CommScope said it would finance the deal through cash and up to $3 billion in debt.Allen & Company LLC, J.P. Morgan Securities LLC, BofA Merrill Lynch and Deutsche Bank are financial advisers to CommScope.Alston & Bird LLP, Latham & Watkins LLP, Baker & McKenzie and Jones Day are serving as legal advisers to CommScope.",2015-01-28,TEL,"Wed Jan 28, 2015 | 9:39am EST",CommScope to buy most of TE Connectivity's network business,http://www.reuters.com//article/te-connectiv-divestiture-commscope-idUSL1N0V718O20150128?type=companyNews
9,"  Telecom equipment maker CommScope Holding Co Inc (COMM.O) said it would buy nearly all of Swiss electronics firm TE Connectivity's (TEL.N) network gear business for about $3 billion to expand in Europe and Asia.The deal comes at a time when operators are increasing their spending on mobile and fixed networks to improve coverage and boost capacity to keep up with rising data traffic from video and smartphones.  TE Connectivity, which split from Tyco International Ltd TYC.N in 2007, said the unit generated revenue of about $1.9 billion in the year ended Sept. 26. The business makes fiber optic cables and network switches.The acquisition does not include the unit's subsea fiber optics operation, which is used by telecom and oil and gas customers.The deal will help CommScope expand in overseas markets. The company gets about 55 percent of its sales from the United States, according to Thomson Reuters data. TE Connectivity gets about 80 percent of its sales from non-U.S. markets.The deal, expected to close by the end of 2015, will add more than 20 percent to CommScope's adjusted earnings by the end of the first full-year after closing, the company said in a statement.  CommScope said it would finance the deal through cash and up to $3 billion in debt.Allen & Company LLC, J.P. Morgan Securities LLC, BofA Merrill Lynch and Deutsche Bank are financial advisers to CommScope. Alston & Bird LLP, Latham & Watkins LLP, Baker & McKenzie and Jones Day are serving as legal advisers to CommScope. (Reporting by Supantha Mukherjee and Kshitiz Goliya in Bengaluru; Editing by Saumyadeb Chakrabarty)",2015-01-28,TEL,"Wed Jan 28, 2015 | 7:20am EST",CommScope to buy most of TE Connectivity's network business,http://www.reuters.com//article/us-te-connectiv-divestiture-commscope-idUSKBN0L117020150128?type=companyNews
