,Article,Date,Symbol,Time,Title,Url
0,"   By Noel Randewich | SAN FRANCISCO  SAN FRANCISCO Texas Instruments Inc plans to cut 1,100 jobs in the United States, Japan and India, or about 3 percent of its global workforce, in a corporate restructuring to save $130 million by the end of 2014.The U.S. chipmaker, which in 2012 announced it would lay off 1,700 people as it wound down its mobile processor business, said on Tuesday it wanted to reduce expenses in its embedded-processing division and in Japan.""Technology markets mature from time to time and you have to rebalance where you spend your money,"" Chief Financial Officer Kevin March said in an interview. ""In the case of Japan, the size of the market there has been declining for a number of years.""While TI is better known to many consumers for its calculators, the Dallas-based company is regarded as a barometer of the chip industry because it makes components for a variety of markets, including industrial, automotive, consumer electronics and communications.Demand for TI chips has gradually improved in recent months although many on Wall Street have been watching for a larger pickup, including an elusive buildup in inventories by manufacturing customers.March said most of TI's customers have kept their inventories ""extremely lean,"" largely because TI in recent years has increased its own store of available components so that it can fill new orders quickly.Job cuts to TI's embedded business are centered mostly on products that have seen slow growth, he said. The job cuts in Japan will include sales and customer support. TI took a $49 million charge in the fourth quarter, to be followed by about $30 million in the first.""This to me shows they believe there are some more efficient ways to run the business than they were running it,"" RBC analyst Doug Freedman said of the chipmaker's job cuts.TI is the second major chipmaker in the past week to announce layoffs. Intel Corp said on Friday it plans to reduce its global workforce of 107,000 by about 5 percent this year as the chipmaker, struggling with falling personal-computer sales, shifts focus to faster-growing areas.TI, which has gradually withdrawn from an intensely competitive mobile phone arena to focus on supplying chips for more lucrative markets like cars and communications, posted fourth-quarter revenue on Tuesday that was up 2 percent from the year-ago period, above expectations.TI reported fourth-quarter net income of $511 million, or 46 cents a share. The $49 million charge reduced earnings by 3 cents a share due to the restructuring.In the year-ago quarter, TI had net income of $264 million, or 23 cents. Revenue rose to $3.03 billion in the fourth quarter - a little higher than expected - from $2.98 billion in the year-ago quarter. TI estimated first-quarter revenue of $2.83 billion to $3.07 billion.Analysts on average had predicted $2.987 billion in revenue for the fourth quarter and $2.95 billion for the first quarter, according to Thomson Reuters I/B/E/S.It said it expects EPS in the first quarter of 36 cents to 44 cents.On a conference call with analysts, TI said it will stop providing mid-quarter updates to its outlook because its business increasingly reflects broad trends instead of changes caused by major customers.Shares of TI fell 1.59 percent in extended trade after closing up 0.92 percent at $43.85 on Nasdaq.(Editing by Richard Chang) nL2N0KV1RM",2014-01-21,TXN,"Tue Jan 21, 2014 | 6:56pm EST","Texas Instruments to cut 1,100 jobs worldwide",http://www.reuters.com//article/us-texasinstruments-results-idUSBREA0K1PH20140121?type=companyNews
1,  SAN FRANCISCO Jan 21 Texas Instruments Inc :  * Says starting this quarter will not provide mid-quarter updates to outlook   ,2014-01-21,TXN,"Tue Jan 21, 2014 | 6:52pm EST",BRIEF-Texas Instruments to stop mid-quarter updates to outlook,http://www.reuters.com//article/texasinstruments-results-idUSWEN00C7920140121?type=companyNews
2,"  (Adds comments, details from analyst call)By Noel RandewichSAN FRANCISCO Jan 21 Texas Instruments Inc  plans to cut 1,100 jobs in the United States, Japan and India, or about 3 percent of its global workforce, in a corporate restructuring to save $130 million by the end of 2014.The U.S. chipmaker, which in 2012 announced it would lay off 1,700 people as it wound down its mobile processor business, said on Tuesday it wanted to reduce expenses in its embedded-processing division and in Japan.""Technology markets mature from time to time and you have to rebalance where you spend your money,"" Chief Financial Officer Kevin March said in an interview. ""In the case of Japan, the size of the market there has been declining for a number of years.""While TI is better known to many consumers for its calculators, the Dallas-based company is regarded as a barometer of the chip industry because it makes components for a variety of markets, including industrial, automotive, consumer electronics and communications.Demand for TI chips has gradually improved in recent months although many on Wall Street have been watching for a larger pickup, including an elusive buildup in inventories by manufacturing customers.March said most of TI's customers have kept their  inventories ""extremely lean,"" largely because TI in recent years has increased its own store of available components so that it can fill new orders quickly. Job cuts to TI's embedded business are centered mostly on products that have seen slow growth, he said. The job cuts in Japan will include sales and customer support.TI took a $49 million charge in the fourth quarter, to be followed by about $30 million in the first.""This to me shows they believe there are some more efficient ways to run the business than they were running it,"" RBC analyst Doug Freedman said of the chipmaker's job cuts. TI is the second major chipmaker in the past week to announce layoffs.Intel Corp said on Friday it plans to reduce its global workforce of 107,000 by about 5 percent this year as the chipmaker, struggling with falling personal-computer sales, shifts focus to faster-growing areas.TI, which has gradually withdrawn from an intensely competitive mobile phone arena to focus on supplying chips for more lucrative markets like cars and communications, posted fourth-quarter revenue on Tuesday that was up 2 percent from the year-ago period, above expectations.TI reported fourth-quarter net income of $511 million, or 46 cents a share. The $49 million charge reduced earnings by 3 cents a share due to the restructuring. In the year-ago quarter, TI had net income of $264 million, or 23 cents.Revenue rose to $3.03 billion in the fourth quarter - a little higher than expected - from $2.98 billion in the year-ago quarter. TI estimated first-quarter revenue of $2.83 billion to $3.07 billion.Analysts on average had predicted $2.987 billion in revenue for the fourth quarter and $2.95 billion for the first quarter, according to Thomson Reuters I/B/E/S.It said it expects EPS in the first quarter of 36 cents to 44 cents.On a conference call with analysts, TI said it will stop providing mid-quarter updates to its outlook because its business increasingly reflects broad trends instead of changes caused by major customers.Shares of TI fell 1.59 percent in extended trade after closing up 0.92 percent at $43.85 on Nasdaq.   (Editing by Richard Chang)",2014-01-21,TXN,"Tue Jan 21, 2014 | 6:33pm EST","UPDATE 3-Texas Instruments to cut 1,100 jobs worldwide",http://www.reuters.com//article/texasinstruments-results-idUSL2N0KV1RM20140121?type=companyNews
3,  NEW YORK Jan 21 Texas Instruments Inc :  * Shares were down 1.1 percent after the bell following results   ,2014-01-21,TXN,"Tue Jan 21, 2014 | 4:36pm EST",BRIEF-Texas Instruments shares down 1.1 pct after the bell following results,http://www.reuters.com//article/texasinstruments-brief-idUSWEN00C7520140121?type=companyNews
4,"  SAN FRANCISCO Jan 21 Texas Instruments Inc  posted fourth-quarter revenue above expectations even as a recovery in demand for its chips remained muted.TI said on Tuesday its fourth-quarter revenue was $3.03 billion, compared to $2.98 billion in the same quarter last year. Analysts on average had expected $2.987 billion, according to Thomson Reuters I/B/E/S.   ",2014-01-21,TXN,"Tue Jan 21, 2014 | 4:36pm EST",Texas Instruments 4th-qtr revenue beats Street,http://www.reuters.com//article/texasinstruments-results-idUSL2N0KR1DL20140121?type=companyNews
5,"   By Noel Randewich | SAN FRANCISCO  SAN FRANCISCO Texas Instruments Inc plans to cut 1,100 jobs in the United States, Japan and India, or about 3 percent of its global workforce, in a corporate restructuring to save $130 million by the end of 2014.The U.S. chipmaker, which in 2012 announced it would lay off 1,700 people as it wound down its mobile processor business, said on Tuesday it wanted to reduce expenses in its embedded-processing division and in Japan.""Technology markets mature from time to time and you have to rebalance where you spend your money,"" Chief Financial Officer Kevin March said in an interview. ""In the case of Japan, the size of the market there has been declining for a number of years.""While TI is better known to many consumers for its calculators, the Dallas-based company is regarded as a barometer of the chip industry because it makes components for a variety of markets, including industrial, automotive, consumer electronics and communications.Demand for TI chips has gradually improved in recent months although many on Wall Street have been watching for a larger pickup, including an elusive buildup in inventories by manufacturing customers.March said most of TI's customers have kept their inventories ""extremely lean,"" largely because TI in recent years has increased its own store of available components so that it can fill new orders quickly.Job cuts to TI's embedded business are centered mostly on products that have seen slow growth, he said. The job cuts in Japan will include sales and customer support. TI took a $49 million charge in the fourth quarter, to be followed by about $30 million in the first.""This to me shows they believe there are some more efficient ways to run the business than they were running it,"" RBC analyst Doug Freedman said of the chipmaker's job cuts.TI is the second major chipmaker in the past week to announce layoffs. Intel Corp said on Friday it plans to reduce its global workforce of 107,000 by about 5 percent this year as the chipmaker, struggling with falling personal-computer sales, shifts focus to faster-growing areas.TI, which has gradually withdrawn from an intensely competitive mobile phone arena to focus on supplying chips for more lucrative markets like cars and communications, posted fourth-quarter revenue on Tuesday that was up 2 percent from the year-ago period, above expectations.TI reported fourth-quarter net income of $511 million, or 46 cents a share. The $49 million charge reduced earnings by 3 cents a share due to the restructuring.In the year-ago quarter, TI had net income of $264 million, or 23 cents. Revenue rose to $3.03 billion in the fourth quarter - a little higher than expected - from $2.98 billion in the year-ago quarter. TI estimated first-quarter revenue of $2.83 billion to $3.07 billion.Analysts on average had predicted $2.987 billion in revenue for the fourth quarter and $2.95 billion for the first quarter, according to Thomson Reuters I/B/E/S.It said it expects EPS in the first quarter of 36 cents to 44 cents.On a conference call with analysts, TI said it will stop providing mid-quarter updates to its outlook because its business increasingly reflects broad trends instead of changes caused by major customers.Shares of TI fell 1.59 percent in extended trade after closing up 0.92 percent at $43.85 on Nasdaq.(Editing by Richard Chang) nL2N0KV1RM",2014-01-22,TXN,"Tue Jan 21, 2014 | 7:45pm EST","Texas Instruments to cut 1,100 jobs worldwide",http://www.reuters.com//article/us-texasinstruments-results-idUSBREA0K1PH20140122?type=companyNews
6,"   By Noel Randewich | SAN FRANCISCO  SAN FRANCISCO Texas Instruments (TXN.O) said on Thursday it plans to return more cash to its shareholders, expanding a capital management policy that has helped boost the chipmaker's stock to its highest level in more than a decade.Improved manufacturing efficiencies mean Texas Instruments will now be able to turn between 20 percent and 30 percent of its revenue into free cash flow, Chief Financial Officer Kevin March said on a conference call with analysts.That is more than Texas Instruments' previous free cash flow target range of between 20 percent and 25 percent of revenue set last year.In 2013, Texas Instruments promised that, except for money used to pay debts, it would return all of its free cash flow to shareholders in the form of dividends and share buybacks in what FBR analyst Chris Rolland called the ""gold standard"" of cash return policies.Texas Instruments will now also return to shareholders the proceeds from the exercise of employee stock options, March said.Chipmakers have been growing far less quickly than companies in other areas of the technology industry, like cloud computing and social media. ""So now to entice shareholders they're pushing the cash return story,"" Rolland said of Texas Instruments and other chip companies.CASH GENERATION The changes to Texas Instruments' capital management policy were incremental improvements but not enough to fuel an immediate stock rise, Rolland said. Its firm commitment to dividends and share buybacks over the past year have helped push the company's stock to highs not seen since 2001.The stock is up 31 percent over the past 12 months. However, it slipped 1.3 percent to $45.84 alongside a lower underlying market on Thursday, after the company announced the new cash return policy.""Our capital management strategy reflects our beliefs that free cash flow growth is most important to maximizing shareholder value in the long term,"" March said. The chipmaker's ability to generate cash has been bolstered by growth in its analog and automotive businesses and by replacing older factories with newer, more efficient ones, he said.Last year, Texas instruments paid out $1.18 billion in dividends and spent $2.87 billion to repurchase stock.Other chipmakers have also made recent commitments to give more cash back to investors.Last week, Qualcomm Inc (QCOM.O) raised its cash dividend by 20 percent after vowing in November to return 75 percent of free cash flow to stock holders.Graphics chipmaker Nvidia Corp (NVDA.O) in November increased its cash dividend by 13 percent and announced an additional $1 billion for its stock buyback program.(Reporting by Noel Randewich; Editing by Sophie Hares)",2014-03-13,TXN,"Thu Mar 13, 2014 | 1:05pm EDT",Texas Instruments wants to hand more cash back to shareholders,http://www.reuters.com//article/us-texas-instrument-idUSBREA2C1K920140313?type=companyNews
7,"  By Noel RandewichSAN FRANCISCO, March 13 Texas Instruments  said on Thursday it plans to return more cash to its shareholders, expanding a capital management policy that has helped boost the chipmaker's stock to its highest level in more than a decade.Improved manufacturing efficiencies mean Texas Instruments will now be able to turn between 20 percent and 30 percent of its revenue into free cash flow, Chief Financial Officer Kevin March said on a conference call with analysts.That is more than Texas Instruments' previous free cash flow target range of between 20 percent and 25 percent of revenue set last year.In 2013, Texas Instruments promised that, except for money used to pay debts, it would return all of its free cash flow to shareholders in the form of dividends and share buybacks in what FBR analyst Chris Rolland called the ""gold standard"" of cash return policies.Texas Instruments will now also return to shareholders the proceeds from the exercise of employee stock options, March said. Chipmakers have been growing far less quickly than companies in other areas of the technology industry, like cloud computing and social media.""So now to entice shareholders they're pushing the cash return story,"" Rolland said of Texas Instruments and other chip companies.CASH GENERATION  The changes to Texas Instruments' capital management policy were incremental improvements but not enough to fuel an immediate stock rise, Rolland said.Its firm commitment to dividends and share buybacks over the past year have helped push the company's stock to highs not seen since 2001.The stock is up 31 percent over the past 12 months. However, it slipped 1.3 percent to $45.84 alongside a lower underlying market on Thursday, after the company announced the new cash return policy. ""Our capital management strategy reflects our beliefs that free cash flow growth is most important to maximizing shareholder value in the long term,"" March said.The chipmaker's ability to generate cash has been bolstered by growth in its analog and automotive businesses and by replacing older factories with newer, more efficient ones, he said.Last year, Texas instruments paid out $1.18 billion in dividends and spent $2.87 billion to repurchase stock.Other chipmakers have also made recent commitments to give more cash back to investors.Last week, Qualcomm Inc raised its cash dividend by 20 percent after vowing in November to return 75 percent of free cash flow to stock holders.Graphics chipmaker Nvidia Corp in November increased its cash dividend by 13 percent and announced an additional $1 billion for its stock buyback program.",2014-03-13,TXN,"Thu Mar 13, 2014 | 12:59pm EDT",UPDATE 1-Texas Instruments wants to hand more cash back to shareholders,http://www.reuters.com//article/tech-texas-instrument-idUSL2N0MA17520140313?type=companyNews
8,"   By Noel Randewich | SAN FRANCISCO, March 13  SAN FRANCISCO, March 13 Texas Instruments  said on Thursday it plans to return more cash to shareholders, expanding a capital management policy that has helped boost the chipmaker's stock to its highest level in more than a decade.Improved manufacturing efficiencies mean Texas Instruments will now be able to turn between 20 percent and 30 percent of its revenue into free cash flow, Chief Financial Officer Kevin March said on a conference call with analysts.That is more than Texas Instruments' previous free cash flow target range of between 20 percent and 25 percent of revenue set last year.In 2013, Texas Instruments promised that, except for money used to pay debts, it would return all of its free cash flow to shareholders in the form of dividends and share buybacks in what FBR analyst Chris Rolland called the ""gold standard"" of cash return policies.Texas Instruments will now also return to shareholders the proceeds from the exercise of employee stock options, March said. Chipmakers have been growing far less quickly than companies in other areas of the technology industry, like cloud computing and social media.""So now to entice shareholders they're pushing the cash return story,"" Rolland said of Texas Instruments and other chip companies.Texas Instruments' firm commitment to dividends and share buybacks over the past year have helped push the company's stock to highs not seen since 2001. The stock is up 31 percent over the past 12 months. However, it slipped 1.3 percent to $45.84 alongside a lower underlying market on Thursday, after announcing its new cash management policy.""Our capital management strategy reflects our beliefs that free cash flow growth is most important to maximizing shareholder value in the long term,"" March said. The chipmaker's ability to generate cash has been bolstered by growth in its analog and automotive businesses and by replacing older factories with newer, more efficient ones, he said.Other chipmakers have also made recent commitments to give more cash back to investors.Last week, Qualcomm Inc raised its cash dividend by 20 percent after vowing in November to return 75 percent of free cash flow to stock holders.Graphics chipmaker Nvidia Corp in November increased its cash dividend by 13 percent and announced an additional $1 billion for its stock buyback program.",2014-03-13,TXN,"Thu Mar 13, 2014 | 12:40pm EDT",Texas Instruments wants to hand more cash back to shareholders,http://www.reuters.com//article/tech-texas-instrument-idUSL2N0M92LE20140313?type=companyNews
9,"   By Lehar Maan  Chipmaker Texas Instruments Inc's (TXN.O) first-quarter revenue and second-quarter revenue forecast topped analysts' estimates on growing demand for its chips used in communication equipment, industrial machines and automotive parts.Shares of Texas Instruments, also called TI, rose as much as 6 percent in extended trading.RBC Capital Markets analyst Doug Freedman said TI's revenue got a boost due to higher demand from end-customers and an overall growth in the semiconductor industry.""The inventory levels for semiconductor devices are presently very low. So any uptick in demand is driving an uptick in sales,"" Freedman said.TI said customer cancellations were ""incredibly low right now"".The company, already looking to reduce its workforce and cut costs in less lucrative markets, said it would keep a cap on capital spending, which would help boost its margins. TI is exiting the low-margin mobile chip business to focus on the more profitable analog business, which makes chips for everything from automotive safety devices to electronics.Rival Qualcomm Inc (QCOM.O) on Wednesday posted its smallest quarterly revenue increase since 2010 as it wrestled with a smartphone market increasingly catering to consumers favoring less expensive devices.TI gets about 62 percent of its sales from its analog chip business, where revenue rose 11 percent in the first quarter ended March 31. Total revenue rose 3 percent to $2.98 billion, beating analysts' average estimate of $2.96 billion, according to Thomson Reuters I/B/E/S.Excluding its wireless business, which the company is winding up, revenue grew 11 percent.The Dallas, Texas-based company forecast second-quarter revenue of $3.14-$3.40 billion, largely above analysts' estimates of $3.15 billion. Chief Financial Officer Kevin March said TI plans to keep its capital spending at about 4 percent of revenue, which would help gross margins.The cost consciousness meant its second-quarter earnings forecast of 55-63 cents per share was well ahead of analysts' average estimate of 52 cents per share.The company's first quarter net income rose 34 percent to $487 million, or 44 cents per share, including a gain of 2 cents per share from asset sales.TI shares closed at $46.46 on the Nasdaq on Wednesday. The stock has risen about 6 percent this year.(Editing by Kirti Pandey, Simon Jennings and Savio D'Souza)",2014-04-23,TXN,"Wed Apr 23, 2014 | 7:03pm EDT",Strong analog chip demand boosts Texas Instruments forecast,http://www.reuters.com//article/us-texasinstruments-results-idUSBREA3M23O20140423?type=companyNews
