,Article,Date,Symbol,Time,Title,Url
0,"   By Sagarika Jaisinghani and Sweta Singh  Textron Inc (TXT.N), maker of Cessna aircraft and Bell helicopters, said it expects revenue at its flagship business jet unit to rise 19 percent in 2014, driven mostly by deliveries of two new aircraft launched late last year.The world's largest maker of business jets reported a jump in fourth-quarter profit as Cessna deliveries picked up after five straight quarters of decline.Textron shares rose as much as 8.7 percent to their highest in more than five years in morning trading.Business jet sales have been sluggish for the past two years, mainly due to U.S. government budget cuts. But spending is expected to pick up in 2014 as business owners become more confident about the U.S. economy.""The (economic) uncertainty is subsiding, we believe that there is pent up demand and cash waiting on the sidelines,"" said Jens Hennig, vice-president of operations at General Aviation Manufacturers Association (GAMA).New models are prompting customers to upgrade their jets, driving deliveries, analysts said.Textron received certification to ship two business jets — the Citation M2 and Citation Sovereign+ — last month. The company is also expected to get clearance for the Citation 10 model soon. This year will be the first full year of deliveries of these jets — a key metric to gauge their performance.""We've seen very strong demand around the M2 product (and) the Sovereign (also) did well ...,"" Chief Executive Scott Donnelly said on a conference call with analysts.BOTTOMING OUT Textron delivered 62 Citations in the fourth quarter ended December 28, up from 53 a year earlier. The industry is optimistic that business jet deliveries will pick up after hitting the bottom in 2013, Hennig said.Global business jet shipments fell 2 percent to 421 aircraft in the first nine months of 2013, according to GAMA, which represents more than 50 fixed-wing aircraft makers. Full-year figures are expected on February 19.Textron said on Wednesday it expects 2014 earnings of $2.00-$2.20 per share on revenue of $13.2 billion, of which about $3.3 billion is expected to come from Cessna. Analysts on average were expecting earnings of $2.23 per share on revenue of $13.11 billion, according to Thomson ReutersI/B/E/S. Income from continuing operations rose to $171 million, or 60 cents per share, in the fourth quarter from $146 million, or 50 cents per share, a year earlier.Revenue rose 4 percent to $3.50 billion.Providence, Rhode Island-based Textron's shares were up 6.5 percent at $38.45, after touching a high of $39.24, on the New York Stock Exchange on Wednesday morning.They have gained more than a third in the past 12 months and have outperformed the S&P 500 .SPX index, which has risen about 24 percent.(Editing by Joyjeet Das)",2014-01-22,TXT,"Wed Jan 22, 2014 | 11:15am EST",Textron expects new Cessna models to boost revenue,http://www.reuters.com//article/us-textron-results-idUSBREA0L0SO20140122?type=companyNews
1,"  * Expects 2014 Cessna revenue to rise 19 pct* Fourth-quarter revenue rises 4 pct to $3.50 bln* Earnings/share $0.60 vs $0.50 a year earlier* Citation jet deliveries rise 17 percent* Shares rise nearly 9 pct   (Adds CEO quote, analyst comment; updates shares)By Sagarika Jaisinghani and Sweta SinghJan 22 Textron Inc, maker of Cessna aircraft and Bell helicopters, said it expects revenue at its flagship business jet unit to rise 19 percent in 2014, driven mostly by deliveries of two new aircraft launched late last year.The world's largest maker of business jets reported a jump in fourth-quarter profit as Cessna deliveries picked up after five straight quarters of decline.Textron shares rose as much as 8.7 percent to their highest in more than five years in morning trading. Business jet sales have been sluggish for the past two years, mainly due to U.S. government budget cuts. But spending is expected to pick up in 2014 as business owners become more confident about the U.S. economy.""The (economic) uncertainty is subsiding, we believe that there is pent up demand and cash waiting on the sidelines,"" said Jens Hennig, vice-president of operations at General Aviation Manufacturers Association (GAMA).New models are prompting customers to upgrade their jets, driving deliveries, analysts said.Textron received certification to ship two business jets - the Citation M2 and Citation Sovereign+ - last month. The company is also expected to get clearance for the Citation 10 model soon.This year will be the first full year of deliveries of these jets - a key metric to gauge their performance. ""We've seen very strong demand around the M2 product (and) the Sovereign (also) did well ...,"" Chief Executive Scott Donnelly said on a conference call with analysts.BOTTOMING OUT Textron delivered 62 Citations in the fourth quarter ended Dec. 28, up from 53 a year earlier. The industry is optimistic that business jet deliveries will pick up after hitting the bottom in 2013, Hennig said.Global business jet shipments fell 2 percent to 421 aircraft in the first nine months of 2013, according to GAMA, which represents more than 50 fixed-wing aircraft makers. Full-year figures are expected on Feb. 19. (r.reuters.com/xys83v)Textron said on Wednesday it expects 2014 earnings of $2.00-$2.20 per share on revenue of $13.2 billion, of which about $3.3 billion is expected to come from Cessna.Analysts on average were expecting earnings of $2.23 per share on revenue of $13.11 billion, according to Thomson Reuters I/B/E/S.Income from continuing operations rose to $171 million, or 60 cents per share, in the fourth quarter from $146 million, or 50 cents per share, a year earlier.Revenue rose 4 percent to $3.50 billion.Providence, Rhode Island-based Textron's shares were up 6.5 percent at $38.45, after touching a high of $39.24, on the New York Stock Exchange on Wednesday morning.They have gained more than a third in the past 12 months and have outperformed the S&P 500 index, which has risen about 24 percent.   (Editing by Joyjeet Das)",2014-01-22,TXT,"Wed Jan 22, 2014 | 11:13am EST",UPDATE 3-Textron expects new Cessna models to boost revenue,http://www.reuters.com//article/textron-results-idUSL3N0KW3PL20140122?type=companyNews
2,"  Jan 22 Textron Inc, the world's largest maker of business aircraft, reported a 17 percent rise in quarterly profit due to higher deliveries of its Cessna aircraft.Textron, which also makes Bell helicopters and EZ-Go golf carts, said income from continuing operations rose to $171 million, or 60 cents per share, in the fourth quarter ended Dec. 28, from $146 million, or 50 cents per share, a year earlier.  Revenue rose 4 percent to $3.50 billion. Deliveries of Citation business jets at its Cessna unit rose 17 percent.   (Reporting by Sagarika Jaisinghani in Bangalore; Editing by Joyjeet Das) ",2014-01-22,TXT,"Wed Jan 22, 2014 | 6:37am EST",Textron profit rises as Cessna deliveries pick up,http://www.reuters.com//article/textron-results-idUSL3N0KW3P520140122?type=companyNews
3,"  * Yelp shares rally on results, boosting Internet names* Textron and Cardinal Health fall after results* Dow down 0.3 pct, S&P 500 down 0.2 pct, Nasdaq up 0.04 pct   (Updates to late afternoon)By Caroline ValetkevitchNEW YORK, May 1 U.S. stocks were nearly flat on Thursday as gains in Internet shares were offset by a decline in Exxon Mobil. Exxon reported first-quarter earnings that exceeded expectations, but its shares dipped 1 percent to $101.43 and led the way down for the S&P 500.Shares of Cardinal Health and Textron, which reported some disappointing quarterly results, also limited gains.Facebook, up 2.2 percent at $61.06, and other Internet shares were among the day's better performers, helped by strong results from Yelp, whose shares gained 9.5 percent to $63.85. Netflix Inc rose 4.4 percent to $336.28 while TripAdvisor Inc added 3.5 percent to $83.58.The shares had slumped recently on concerns that they, along with biotech ""momentum"" names, were overvalued. The Nasdaq ended April with a 2 percent loss for the month, while both the Dow and S&P 500 had slight gains. ""The kind of rotations we've seen to me are very often the prelude to a general selloff,"" said Uri Landesman, president of Platinum Partners in New York.""Tech has badly underperformed the S&P and Dow. The risk trade is coming off,"" he said. ""To me the risk trade coming off means eventually the market trade is coming off.""The Dow Jones industrial average fell 54.87 points or 0.33 percent, to 16,525.97, the S&P 500 lost 3.76 points or 0.2 percent, to 1,880.19 and the Nasdaq Composite  added 1.743 points or 0.04 percent, to 4,116.299.On the downside, Cardinal fell 5.4 percent to $65.78 as its revenue missed expectations, while Textron lost 4.2 percent to $39.16 following its results.     (Editing by Bernadette Baum and Nick Zieminski)",2014-05-01,TXT,"Thu May 1, 2014 | 2:56pm EDT",US STOCKS-Wall St near flat; Internet names gain,http://www.reuters.com//article/markets-usa-stocks-idUSL2N0NN1FW20140501?type=companyNews
4,"  * Yelp shares rally on results, boosting Internet names* Textron and Cardinal Health fall after results* AT&T approached DirecTV about possible acquisition: WSJ* Dow flat, S&P 500 up 0.1 pct, Nasdaq up 0.6 pct   (Adds car sales)By Ryan VlastelicaNEW YORK, May 1 U.S. stocks rose on Thursday, shrugging off early losses as the Nasdaq advanced alongside Internet names, which were boosted by strong results from Yelp. Equities had opened mildly lower, with investors finding few reasons to keep chasing gains following a record close in the Dow on Wednesday. Some disappointing quarterly results, including from Cardinal Health and Textron, also limited gains.Yelp Inc jumped 13 percent to $65.82 a day after reporting strong revenue growth. The results lifted Internet names, which have slumped recently on concerns that they, along with biotech ""momentum"" names, were overvalued. Netflix Inc  rose 5.7 percent to $340.49 while TripAdvisor Inc  added 4.4 percent to $84.30 and Facebook Inc was up 3.7 percent to $61.99. ""Yelp is rocking today, and when you have a group that has been beaten up over the past month, along with a market that is setting new highs, that's a cue for momentum players to come back into the market,"" said Michael Matousek, head trader at U.S. Global Investors Inc in San Antonio. ""Internet is the place to be today.""The Dow Jones industrial average was up 5.11 points, or 0.03 percent, at 16,585.95. The Standard & Poor's 500 Index  was up 2.58 points, or 0.14 percent, at 1,886.53. The Nasdaq Composite Index was up 26.00 points, or 0.63 percent, at 4,140.55.On the downside, Cardinal fell 5.4 percent to $65.78 as its revenue missed expectations, while Textron lost 2.9 percent to $39.73 following its results. DirecTV Inc rose 5.5 percent to $81.86 after the Wall Street Journal reported that AT&T Inc had approached the company about a possible acquisition. Shares of AT&T dipped 0.2 percent to $35.63.Automakers were in focus following the release of April sales data, which showed a sharp rebound. General Motors Corp  rose 1.98 percent to $35.13 while Ford Motor Co was off 0.6 percent to $16.05.Jobless claims unexpectedly rose in the latest week, though the underlying trend continued to point to an improving labor market. U.S. consumer spending recorded its largest increase in more than four and a half years in March.U.S. manufacturing growth accelerated for a third straight month in April, according to the Institute for Supply Management's index of national factory activity.    (Editing by Bernadette Baum and Nick Zieminski)",2014-05-01,TXT,"Thu May 1, 2014 | 12:34pm EDT","US STOCKS-Wall St rises, Nasdaq boosted by Internet names",http://www.reuters.com//article/markets-usa-stocks-idUSL2N0NN12U20140501?type=companyNews
5,"  * Yelp shares rally on results, boosting Internet names* Textron and Cardinal Health fall after results* AT&T approached DirecTV about possible acquisition: WSJ* Dow flat, S&P 500 up 0.1 pct, Nasdaq up 0.6 pct   (Updates to midday trading)By Ryan VlastelicaNEW YORK, May 1 U.S. stocks rose on Tuesday, shrugging off early losses as the Nasdaq advanced alongside Internet names, which were boosted by strong results from Yelp. Equities had opened mildly lower, with investors finding few reasons to keep chasing gains following a record close in the Dow on Wednesday. Some disappointing quarterly results, including from Cardinal Health and Textron, also limited gains.Yelp Inc jumped 13.8 percent to $66.35 a day after reporting strong revenue growth. The results lifted Internet names, which have slumped recently on concerns that they, along with biotech ""momentum"" names, were overvalued. Netflix Inc  rose 6 percent to $341.54 while TripAdvisor Inc  added 4.1 percent to $84.07 and Facebook Inc was up 3.3 percent to $61.76. ""Yelp is rocking today, and when you have a group that has been beaten up over the past month, along with a market that is setting new highs, that's a cue for momentum players to come back into the market,"" said Michael Matousek, head trader at U.S. Global Investors Inc in San Antonio. ""Internet is the place to be today.""The Dow Jones industrial average was down 0.74 points, or 0.00 percent, at 16,580.10. The Standard & Poor's 500 Index was up 2.24 points, or 0.12 percent, at 1,886.19. The Nasdaq Composite Index was up 23.58 points, or 0.57 percent, at 4,138.13.On the downside, Cardinal fell 5.2 percent to $65.90 as its revenue missed expectations, while Textron lost 2.3 percent to $39.95 following its results. U.S.-listed shares of Sony Corp fell 1.5 percent to $17.38 after the company cut its earnings outlook for the third time in a year, forecasting barely 10 percent of its initial outlook.DirecTV Inc rose 5.5 percent to $81.86 after the Wall Street Journal reported that AT&T Inc had approached the company about a possible acquisition. Shares of AT&T dipped 0.2 percent to $35.63.Jobless claims unexpectedly rose in the latest week, though the underlying trend continued to point to an improving labor market. U.S. consumer spending recorded its largest increase in more than four and a half years in March.U.S. manufacturing growth accelerated for a third straight month in April, according to the Institute for Supply Management's index of national factory activity.    (Editing by Bernadette Baum and Nick Zieminski)",2014-05-01,TXT,"Thu May 1, 2014 | 12:04pm EDT","US STOCKS-Wall St rises, Nasdaq boosted by Internet names",http://www.reuters.com//article/markets-usa-stocks-idUSL2N0NN0ZR20140501?type=companyNews
6,"  Textron Inc (TXT.N) reported quarterly results below analysts' estimates due to fewer deliveries of its Bell helicopters and costs related to its acquisition of Beechcraft Corp.Textron's shares fell as much as 6 percent after the world's largest maker of business aircraft also cut its 2014 profit forecast.The company, which sells Cessna business jets and EZ-Go golf carts along with Bell helicopters, bought smaller business jet maker Beechcraft in March to boost its aviation business.The company's Bell business has been hurt by the U.S. government's spending cuts over the past few quarters.Deliveries of Bell helicopters to the U.S. government fell by two units to 15 in the first quarter ended March 29, the company said in a statement.Bell delivered 34 helicopters to commercial customers, down from 40 a year earlier. Chief Executive Scott Donnelly, however, said the decline did not reflect lower demand.The company delivered ""an awful lot of"" helicopters to commercial customers in the fourth quarter, which led to light deliveries in the first quarter, Donnelly said on a conference call with analysts.The company delivered 75 commercial aircraft in the fourth quarter. ""Order demand was stronger than a year ago so we still expect that commercial deliveries will be up in 2014,"" Donnelly said.Textron lowered its full-year forecast for earnings from continuing operations to $1.92-$2.12 per share from $2.00-$2.20, citing additional costs related to the Beechcraft purchase.Income from continuing operations dropped to $87 million, or 31 cents per share, in the first quarter, from $115 million, or 40 cents per share, a year earlier. Textron said Beechcraft-related costs reduced earnings by 5 cents per share.Total revenue was nearly flat at $2.85 billion.Analysts on average expected earnings of 39 cents per share on revenue of $3.03 billion, according to Thomson Reuters I/B/E/S.The company's shares were down 2.4 percent at $39.93 in late-morning trading on the New York Stock Exchange on Thursday. They had gained about 64 percent in the past year to Wednesday, compared with a 19 percent rise in the S&P 500 index .SPX.(Reporting by Sagarika Jaisinghani in Bangalore; Editing by Maju Samuel)",2014-05-01,TXT,"Thu May 1, 2014 | 11:50am EDT",Textron results miss estimates as helicopter deliveries drop,http://www.reuters.com//article/us-textron-results-idUSBREA400L620140501?type=companyNews
7,"  * First-quarter rev $2.85 bln vs est $3.03 bln* Adjusted earnings $0.36/share vs est $0.39* Cuts 2014 profit forecast by 8 cents to $1.92-$2.12/share* Shares fall as much as 6 pct   (Adds CEO comment, forecast, details)May 1 Textron Inc reported quarterly results below analysts' estimates due to fewer deliveries of its Bell helicopters and costs related to its acquisition of Beechcraft Corp.Textron's shares fell as much as 6 percent after the world's largest maker of business aircraft also cut its 2014 profit forecast.The company, which sells Cessna business jets and EZ-Go golf carts along with Bell helicopters, bought smaller business jet maker Beechcraft in March to boost its aviation business. The company's Bell business has been hurt by the U.S. government's spending cuts over the past few quarters.Deliveries of Bell helicopters to the U.S. government fell by two units to 15 in the first quarter ended March 29, the company said in a statement.Bell delivered 34 helicopters to commercial customers, down from 40 a year earlier.Chief Executive Scott Donnelly, however, said the decline did not reflect lower demand. The company delivered ""an awful lot of"" helicopters to commercial customers in the fourth quarter, which led to light deliveries in the first quarter, Donnelly said on a conference call with analysts.The company delivered 75 commercial aircraft in the fourth quarter.""Order demand was stronger than a year ago so we still expect that commercial deliveries will be up in 2014,"" Donnelly  said. Textron lowered its full-year forecast for earnings from continuing operations to $1.92-$2.12 per share from $2.00-$2.20, citing additional costs related to the Beechcraft purchase.Income from continuing operations dropped to $87 million, or 31 cents per share, in the first quarter, from $115 million, or 40 cents per share, a year earlier.Textron said Beechcraft-related costs reduced earnings by 5 cents per share.Total revenue was nearly flat at $2.85 billion.Analysts on average expected earnings of 39 cents per share on revenue of $3.03 billion, according to Thomson Reuters I/B/E/S.The company's shares were down 2.4 percent at $39.93 in late-morning trading on the New York Stock Exchange on Thursday. They had gained about 64 percent in the past year to Wednesday, compared with a 19 percent rise in the S&P 500 index.   (Reporting by Sagarika Jaisinghani in Bangalore; Editing by Maju Samuel)",2014-05-01,TXT,"Thu May 1, 2014 | 11:35am EDT",UPDATE 2-Textron results miss estimates as helicopter deliveries drop,http://www.reuters.com//article/textron-results-idUSL3N0NN2GI20140501?type=companyNews
8,"  * Textron and Cardinal Health fall after results* Yelp shares rally a day after posting strong revenue growth* AT&T approached DirecTV about possible acquisition: WSJ* Dow down 0.2 pct, S&P 500 down 0.1 pct, Nasdaq up 0.1 pct   (Updates to open, adds ISM and construction spending data)By Ryan VlastelicaNEW YORK, May 1 U.S. stocks mostly edged lower on Thursday as investors found few reasons to keep chasing gains following a record close in the Dow and as a number of prominent names disappointed in their quarterly results. The day's losses were slight but broad, with eight of the ten primary S&P 500 sectors lower on the day. Industrial names  were among the weakest, pressured by Textron results, while Cardinal Health hit healthcare names.Cardinal fell 6.2 percent to $65.20 as its revenue missed expectations, while Textron lost 3 percent to $39.67 as earnings fell from the prior year and sales were nearly flat. Both the Dow and S&P 500 are coming off three-day winning streaks, and the blue-chip Dow closed at its first record of 2014 on Wednesday, fueled by an upbeat view of the economy from the Federal Reserve, which offset a much weaker-than-expected read on first-quarter economic growth.""Earnings have been disappointing, and that, along with concerns over valuation, makes it difficult for the market to make too much headway,"" said Bruce McCain, chief investment strategist at Key Private Bank in Cleveland, Ohio. ""We'll probably continue to lose momentum at the top of the trading range until we get some clearly positive signals.""U.S.-listed shares of Sony Corp fell 2.1 percent to $17.27 after the company cut its earnings outlook for the third time in a year, forecasting barely 10 percent of its initial outlook. The Dow Jones industrial average was down 25.06 points, or 0.15 percent, at 16,555.78. The Standard & Poor's 500 Index was down 2.41 points, or 0.13 percent, at 1,881.47. The Nasdaq Composite Index was up 5.12 points, or 0.12 percent, at 4,119.68.On the upside, Yelp Inc jumped 13.8 percent to $66.35 a day after reporting strong revenue growth.  DirecTV Inc rose 5.7 percent to $82 after the Wall Street Journal reported that AT&T Inc had approached the company about a possible acquisition. Shares of AT&T dipped 0.5 percent to $35.53.Jobless claims unexpectedly rose in the latest week, though the underlying trend continued to point to improving labor market conditions. Separately, U.S. consumer spending recorded its largest increase in more than four and a half years in March.U.S. manufacturing growth accelerated for a third straight month in April, according to the Institute for Supply Management's index of national factory activity.    (Editing by Bernadette Baum and Nick Zieminski)",2014-05-01,TXT,"Thu May 1, 2014 | 10:45am EDT","US STOCKS-Wall St edges lower, Cardinal hits healthcare names",http://www.reuters.com//article/markets-usa-stocks-idUSL2N0NN0T220140501?type=companyNews
9,"  Textron Inc (TXT.N) reported a 24 percent drop in quarterly profit, partly due to fewer deliveries of its Bell helicopters and unmanned aircraft systems.The company's Bell business, which is mostly defense focused, has been hurt by the U.S. government's spending cuts.Textron, also the maker of Cessna business aircraft, said fewer deliveries to the military contributed to an 8 percent drop in revenue at the Bell business.Revenue at its Textron Systems business, which makes unmanned aircraft systems and marine and land systems, decreased 15 percent to $363 million. Total revenue was nearly unchanged from a year earlier at $2.85 billion. The Bell and Textron Systems businesses together make up more than 40 percent of total revenue.Income from continuing operations dropped to $87 million, or 31 cents per share, in the first quarter ended March 29, from $115 million, or 40 cents per share, a year earlier. Textron recorded $16 million in costs related to its acquisition of Beechcraft Corp earlier this year.The company's shares closed at $40.90 on the New York Stock Exchange on Wednesday. They have gained about 64 percent in the past year, compared with a 19 percent rise in the S&P 500 index .SPX.(Corrects total revenue to $2.85 bln from $2.82 bln in paragraph 4)(Reporting by Sagarika Jaisinghani in Bangalore; Editing by Maju Samuel)",2014-05-01,TXT,"Thu May 1, 2014 | 7:24am EDT",Textron profit falls on fewer helicopter deliveries,http://www.reuters.com//article/us-textron-results-idUSBREA4009J20140501?type=companyNews
