,Article,Date,Symbol,Time,Title,Url,compound,neg,neu,pos
0,"  Jan 22 Medical device maker St. Jude Medical Inc  reported a higher fourth-quarter profit on Wednesday, as it had expected, and forecast growth in both earnings and revenue in 2014.St. Jude said it expected 2014 revenue in the range of $5.6 billion to $5.75 billion, and earnings of $3.94 to $3.99 per share. That compares with sales of $5.5 billion and earnings excluding charges of $3.76 per share in 2013. For 2014, analysts had expected earnings of $3.98 per share and revenue of $5.64 billion, according to Thomson Reuters I/B/E/S. St. Jude said on Jan. 13 its fourth quarter had been better than expected and that it would report earnings of 97 cents to 99 cents per share, excluding restructuring costs and charges. Excluding special items, the company reported a profit of $294 million, or 99 cents per share, up from $285 million, or 92 cents a share, a year earlier.The company reported fourth-quarter revenue of $1.42 billion. Analysts had forecast adjusted earnings of 97 cents per share and revenue of $1.38 billion.",2014-01-22,STJ,"Wed Jan 22, 2014 | 7:59am EST",UPDATE 1-St. Jude forecasts 2014 growth in sales and revenue,http://www.reuters.com//article/stjude-results-idUSL2N0KW0IO20140122?type=companyNews,0.969,0.022,0.822,0.156
1,"  Jan 22 St. Jude Medical Inc on Wednesday reported a higher fourth-quarter profit, as it had indicated it would, and forecast growth in both earnings and revenue in 2014.St. Jude on Jan. 13 said that the fourth quarter had been better than expected and that it would report earnings of 97 cents to 99 cents per share, excluding restructuring costs and charges.  Excluding special items, the company reported a profit of $294 million, or 99 cents per share, up from $285 million, or 92 cents a share, a year earlier. ",2014-01-22,STJ,"Wed Jan 22, 2014 | 7:42am EST",St. Jude forecasts 2014 growth in sales and revenue,http://www.reuters.com//article/stjude-results-idUSL2N0KW0IG20140122?type=companyNews,0.9477,0.021,0.772,0.207
2,"  * Q4 op profit 1.01 bln euros vs avg forecast for 1.10 bln* Targets 900 mln euros in cost savings through 2015* Aims to raise dividend payout ratio this year and next* Proposes 0.43 euro dividend per share, just below forecasts* Shares down 0.9 percent   (Adds share price, CEO, analyst comments)By Johan Ahlander and Mia ShanleySTOCKHOLM, Jan 29 Nordea will double its target for cost savings as the Nordic region's biggest bank by market value braces for a prolonged period of weak lending, which had sent its fourth-quarter earnings below analyst forecasts.The bank, one of Europe's most strongly capitalised lenders, said the outlook for the region was uneven, with lukewarm growth in Finland and Denmark and a struggling housing market in Norway contrasting with a more dynamic recovery in Sweden. ""In general, the upswing in Europe is slow - it will not be financed very much by borrowing,"" CEO Christian Clausen said. ""We are adjusting to that, so we are taking out activity-related costs.""Clausen said consumers were starting to spend more, but that they were not borrowing more. Companies, he said, remained cautious on investments and employment.Nordea said it now aims to create 900 million euros in cost savings from 2013 to 2015, up from a previous 450 million euros.Nick Anderson, an analyst at Berenberg bank, said the plan looked aggressive. ""They have a very good track record of delivering, so delivery I wouldn't doubt. The interesting question to pose is: Will this impact revenues?"" he said.Credit Suisse said in a note that the bank's plan to lower its cost base by five percent by 2015 looked credible, saying it implied a 4-6 percent upgrade to earnings forecasts for 2015.Shares in Nordea fell 0.9 percent by 1152 GMT, underperforming a modestly higher blue-chip Stockholm index .Nordea's earnings follow weaker-than-expected results from Swedish rival Swedbank on Tuesday.  Handelsbanken and SEB report next week. Nordic banks have been busy strengthening their balance sheets, pulling out of riskier areas such as Poland and Russia in order to focus on core markets, and have benefited from far lower funding costs relative to peers.Strong public finances in Sweden - with a top-notch AAA investment rating - have made them especially attractive to investors seeking shelter as the debt crisis played out in Europe.Still, many investors who had hoped the well-capitalised banks would start returning more capital through special dividends, share buybacks or higher payout ratios may have to wait a bit longer.Regulatory uncertainty remains a concern, so banks are keen to retain high capital buffers as they wait on authorities to decide on countercyclical capital buffers and possibly higher risk weights for mortgages.Nordea laid the ground for higher dividends this year and next, but said the impact of tougher regulatory requirements was too uncertain for it to decide on its long-term target for returning capital to shareholders.It proposed a dividend of 0.43 euros per share for the year, up 26 percent from a year ago but just missing analyst forecasts.Nordea's operating profit for the fourth quarter was 1.01 billion euros ($1.38 billion) compared with a mean forecast for 1.10 billion seen in a Reuters poll of analysts and a year-ago 1.03 billion. ($1 = 0.7319 euros)   (Reporting by Mia Shanley and Johan Ahlander; editing by Niklas Pollard and Louise Heavens)",2014-01-29,STJ,"Wed Jan 29, 2014 | 6:59am EST",UPDATE 2-Nordea to double cost savings to cope with low growth,http://www.reuters.com//article/nordea-idUSL5N0L30CW20140129?type=companyNews,0.9244,0.073,0.829,0.098
3,"  (Repeats with no changes to text)STOCKHOLM Jan 29 Nordea NDA.ST, the Nordic region's biggest bank by market value, said on Wednesday it plans to accelerate its cost savings programme as its fourth-quarter operating profit landed below expectations.The bank also said it aimed to raise its dividend payout ratio this year and next. Operating profit for the period was 1.01 billion euros ($1.38 billion) compared with a mean forecast for 1.10 billion seen in a Reuters poll of analysts and a year-ago 1.03 billion. ""Since we foresee in the coming years a lower loan demand, lower customer activity and lower interest rates than previously expected, we will increase our focus on cost efficiency,"" CEO Christian Clausen said in a statement. The bank now aims to create 900 million euros in cost savings from 2013 to 2015, up from a previous 450 million euros. ($1 = 0.7319 euros)   (Reporting by Mia Shanley and Johan Ahlander)",2014-01-29,STJ,"Wed Jan 29, 2014 | 1:20am EST",RPT-Nordea speeds up cost savings plan as Q4 profits miss forecast,http://www.reuters.com//article/nordea-idUSWEA00DNQ20140129?type=companyNews,0.6249,0.077,0.827,0.096
4,"  STOCKHOLM Jan 29 Nordea NDA.ST, the Nordic region's biggest bank by market value, said on Wednesday it plans to accelerate its cost savings programme as its fourth-quarter operating profit landed below expectations.The bank also said it aimed to raise its dividend payout ratio this year and next. Operating profit for the period was 1.01 billion euros ($1.38 billion) compared with a mean forecast for 1.10 billion seen in a Reuters poll of analysts and a year-ago 1.03 billion. ""Since we foresee in the coming years a lower loan demand, lower customer activity and lower interest rates than previously expected, we will increase our focus on cost efficiency,"" CEO Christian Clausen said in a statement. The bank now aims to create 900 million euros in cost savings from 2013 to 2015, up from a previous 450 million euros. ($1 = 0.7319 euros)   (Reporting by Mia Shanley and Johan Ahlander)",2014-01-29,STJ,"Wed Jan 29, 2014 | 1:16am EST",Nordea speeds up cost savings plan as Q4 profits miss forecast,http://www.reuters.com//article/nordea-idUSS3N0FN01D20140129?type=companyNews,0.743,0.066,0.834,0.1
5,"  By Susan KellyFeb 4 Boston Scientific Corp on Tuesday reported higher-than-expected quarterly results, citing improving demand for its devices that manage irregular heart rhythms.But U.S. sales of implantable cardioverter defibrillators (ICDs), which shock dangerously fast heartbeats back to normal, were flat. Some analysts were looking for stronger sales of the important product after competitor St. Jude Medical Inc  reported positive sales growth last month.""There were some fits and starts in the quarter,"" said Jefferies analyst Raj Denhoy. ""The U.S. ICD business was particularly light.""Investors have anticipated a recovery in the market for heart rhythm products after several years of declining sales. The U.S. economic downturn had reduced demand for healthcare, and medical studies suggested the devices have been overused. Boston Scientific is also expected to benefit from the introduction of its S-ICD system. The ""lead wires"" in this new type of implantable defibrillator are threaded up the sternum rather than attached to the heart.Boston Scientific last year began to see growth in revenue, which had been falling for years, after the company embarked on a turnaround strategy involving cost cuts and restructuring efforts.In the fourth quarter, Boston Scientific's profit rose to $108 million, or 8 cents a share, from $60 million, or 4 cents a share, a year earlier. Excluding acquisition, divestiture, litigation and restructuring charges, earnings were 21 cents a share. Analysts on average had expected 13 cents, according to Thomson Reuters I/B/E/S.Sales rose 1 percent to $1.84 billion, while analysts had forecast $1.83 billion.Worldwide sales of cardiac rhythm management products, including pacemakers and ICDs, climbed 2 percent to $468 million in the fourth quarter. Sales of interventional cardiology products, primarily stents that are inserted into clogged heart arteries to help prop them open, fell 6 percent to $500 million.Boston Scientific forecast 2014 earnings of 75 cents to 80 cents a share, excluding special items, on revenue of $7.3 billion to $7.5 billion.Analysts on average were expecting a profit of 52 cents a share on revenue of $7.41 billion.Shares of Boston Scientific more than doubled last year on anticipation of a recovery in the heart rhythm device market and enthusiasm about the company's product pipeline.The stock was down 0.3 percent at $12.97 in midday trading on the New York Stock Exchange.",2014-02-04,STJ,"Tue Feb 4, 2014 | 12:02pm EST",UPDATE 2-Boston Scientific profit up as heart device demand improves,http://www.reuters.com//article/bostonscientific-results-idUSL2N0L90J020140204?type=companyNews,0.9803,0.042,0.842,0.116
6,"  SAN FRANCISCO STMicroelectronics (STM.PA) posted lower first-quarter revenue and a loss that narrowed after the European chipmaker exited its mobile joint venture with ST-Ericsson.Franco-Italian STMicro, whose chips are used in cars, computers and mobile phones, posted first-quarter revenue of $1.825 billion, down from $2.009 billion in the year-ago quarter.Six analysts polled by Reuters on average had expected first-quarter revenue of $1.836 billion.Its net loss in the first quarter shrank to $24 million from $171 million in the same quarter the year before. Its non-GAAP loss per share was 1 cent. Last year, STMicro and telecom network gear maker Ericsson ended their money-losing joint venture to make chips for mobile phones. Since then, STMicro has refocused on product lines for automobiles, video game consoles, and high-end smartphones, but that move has yet to pay off in terms of higher profits. Excluding legacy ST-Ericsson products, the chipmaker's revenue grew 1 percent in the quarter.The company said its total revenue in the second quarter would rise 2 percent compared to the first quarter. STMicro is the eighth-largest semiconductor maker by global sales but it has lost ground to rivals like Qualcomm (QCOM.O), Intel (INTC.O) and Samsung in recent years because of its higher cost base and difficulties suffered by Nokia, once its largest customer.(Reporting by Noel Randewich; Editing by Cynthia Osterman)",2014-04-28,STJ,"Mon Apr 28, 2014 | 5:24pm EDT","STMicro posts lower first-quarter revenue, smaller loss",http://www.reuters.com//article/us-stmicroelectron-results-idUSBREA3R1D420140428?type=companyNews,-0.7579,0.079,0.883,0.038
7,"  SAN FRANCISCO, April 28 STMicroelectronics  posted lower first-quarter revenue and a loss that narrowed after the European chipmaker exited its mobile joint venture with ST-Ericsson.Franco-Italian STMicro, whose chips are used in cars, computers and mobile phones, posted first-quarter revenue of $1.825 billion, down from $2.009 billion in the year-ago quarter.Six analysts polled by Reuters on average had expected first-quarter revenue of $1.836 billion. Its net loss in the first quarter shrank to $24 million from $171 million in the same quarter the year before. Its non-GAAP loss per share was 1 cent.Last year, STMicro and telecom network gear maker Ericsson ended their money-losing joint venture to make chips for mobile phones. Since then, STMicro has refocused on product lines for automobiles, video game consoles, and high-end smartphones, but that move has yet to pay off in terms of higher profits. Excluding legacy ST-Ericsson products, the chipmaker's revenue grew 1 percent in the quarter. The company said its total revenue in the second quarter would rise 2 percent compared to the first quarter.STMicro is the eighth-largest semiconductor maker by global sales but it has lost ground to rivals like Qualcomm, Intel and Samsung in recent years because of its higher cost base and difficulties suffered by Nokia, once its largest customer.   (Reporting by Noel Randewich; Editing by Cynthia Osterman)",2014-04-28,STJ,"Mon Apr 28, 2014 | 5:23pm EDT","STMicro posts lower first-quarter revenue, smaller loss",http://www.reuters.com//article/stmicroelectron-results-idUSL2N0NK1WS20140428?type=companyNews,-0.7579,0.079,0.883,0.038
8,"  (Adds Stryker, Vivus, Transcontinental, Orange, St. Jude Medical; Updates Weir, Valeant, General Electric)May 28 The following bids, mergers, acquisitions and disposals were reported by 2000 GMT on Wednesday:** America Movil aims to hold only a slim majority of shares in Telekom Austria following a $2 billion takeover offer, its finance chief said on Wednesday.America Movil, which owns 27 percent of Telekom Austria, has offered to buy the shares not already owned by it or the Austrian state.** Transcontinental Inc will have to sell 34 community newspapers to complete a deal to buy 74 Quebecor Inc  Sun Media weeklies, Canada's Competition Bureau said in approving the transaction on Wednesday.**  U.S. medical devices manufacturer Stryker Corp  has denied any intention of making a bid for UK rival Smith & Nephew Plc, whose shares had spiked higher after a report that Stryker was planning a bid.**   Vivus Inc's biggest shareholder Aspen Investment Fund said it was planning to buy the obesity drug maker in a deal valued at $640 million, the latest shareholder attempt to revive a company that has struggled to boost sales of its key drug.** France's largest telecom group Orange said on Thursday it would support a bid from technology services group Atos to buy rival Bull, in which it owns 8 percent.** Retail foreign exchange operator Travelex (IPO-TUL.L) said UAE Exchange owner B.R. Shetty and Abu Dhabi private equity house Centurion Investments would buy the company from shareholders including Chairman Lloyd Dorfman and Apax Partners. Terms of the deal were not disclosed.** St. Jude Medical Inc said on Wednesday it plans to exercise its option to buy the shares of CardioMEMS it does not already own for $375 million following news the Food and Drug Administration has approved CardioMEMS's wireless heart device.** The co-founder of investment bank Guggenheim Partners and its president are helping billionaire media executive David Geffen put together a group to bid on the Los Angeles Clippers professional basketball team.** Canadian drugmaker Valeant Pharmaceuticals International Inc  raised the cash component of its unsolicited offer for Botox-maker Allergan Inc, valuing the U.S. firm at $49.44 billion and ratcheting up pressure on the target company.Valeant may take its takeover bid for Allergan directly to the target company's shareholders, Valeant Chief Executive Michael Pearson said on Wednesday. ** Swiss food group Nestle stepped up its drive into the fast-growing skincare market, buying the rights to several treatments for facial lines and wrinkles from Valeant Pharmaceuticals International for $1.4 billion in cash.** A Koch Industries Inc unit will take PetroLogistics LP private in a deal worth $2.1 billion, including debt, gaining control of a plant that can convert cheap U.S. shale gas into propylene, a key petrochemical used to make plastics.** Stockland Corp Ltd, Australia's No. 2 property group, upped its offer for Australand Property Group to A$2.02 billion ($1.87 billion), a month after threatening to walk away if the target rejected its original bid.** Investment firm Strategic Value Partners (SVP) is making another attempt to sell German plastic packaging maker Kloeckner Pentaplast in a potential 1.5 billion euro ($2 billion) deal, two sources familiar with the matter said.** General Electric strengthened its position in the battle for the power arm of French group Alstom on Wednesday with a pledge to create new jobs in France and recognition from Paris that it had made a more acceptable offer.** German engineering group Siemens is in final stage talks to sell its 50 percent stake in a household goods joint venture to partner Robert Bosch, two sources familiar with the matter said. ** Petrochemicals company Westlake Chemical Corp  said it would buy Germany polyvinyl chloride (PVC) maker Vinnolit Holdings GmbH and its subsidiary companies for 490 million euros from private-equity firm Advent International.** Hikma Pharmaceuticals said it agreed to acquire assets from the U.S. generic injectable drugs business of Germany's Boehringer Ingelheim for up to $300 million, boosting its presence in the injected medicine market.** Li Ka-shing's Hutchison Whampoa Ltd  conglomerate said two companies controlled by the tycoon had teamed up to buy a Canadian off-airport car park operator for C$397.5 million ($366 million) as Asia's richest man continues to invest abroad.** China's Shanghai Prime Machinery Co Ltd (PMC)  will buy Dutch toolmaker Koninklijke Nedschroef Holding B.V. in a 325 million euro deal, the two firms said, as Chinese companies continue to expand their global footprints.** Swiss media group Tamedia has bowed out of a 468 million-franc ($521 million) takeover battle for Swiss advertising firm PubliGroupe, agreeing with rival bidder Swisscom to jointly take over PubliGroupe's directory business instead.**  Scottish engineering firm Weir Group abandoned efforts to acquire rival Metso after the Finnish company rejected a second, improved takeover bid. ** A unit of Chinese e-commerce giant Alibaba Group Holdings Ltd IPO-ALIB.N will buy a minority stake in Singapore Post Ltd  for S$312.5 million ($249 million), to help set up an international e-commerce logistics business.** Hong Kong-based Hutchison Whampoa gained European Union regulatory approval for its $1 billion bid for Telefonica's Irish business, in a case that could set the tone for Telefonica's bigger German deal.** Unfazed by the threat of further Western sanctions on Russia, commodity trader and mining company Glencore  has agreed to sign a new pre-payment deal with Ruspetro, a Russian oil and gas company operating in western Siberia. Energo Resurs, a subsidiary of London-listed Glencore, has agreed to pre-pay about 750 million roubles ($21.80 million) to Ruspetro, which in return is expected to supply about 1,680 barrels a day of crude for a year, Ruspetro said in a statement.** Lithuanian state-owned firms offered to buy the minority stakes in the country's gas utilities held by Russia's Gazprom  and others, reversing their privatization a decade ago.** A consortium led by Philippine conglomerate Ayala Corp  has submitted the lone bid to undertake a 64.9 billion peso ($1.5 billion) project to renovate and extend Manila's oldest elevated railway.** The owners of German online retailer Mytheresa, specializing in luxury fashion and accessories, have mandated Goldman Sachs to find a buyer, three people familiar with the matter told Reuters.** Germany's Trimet Aluminium said it purchased insolvent German aluminum producer Voerde Aluminium.** Permira is selling a 5.6 percent stake in Hugo Boss, the latest step by the private equity house to exit its investment in the German fashion retailer.($1 = 1.08 Australian dollars)($1 = 1.09 Canadian dollars)($1 = 0.74 euros)($1=0.9 Swiss francs)($1 = 34.41 Russian roubles)($1 = 1.26 Singapore dollars)   (Compiled by Natalie Grover and Shailaja Sharma in Bangalore)",2014-05-28,STJ,"Wed May 28, 2014 | 4:11pm EDT",Deals of the day- Mergers and acquisitions,http://www.reuters.com//article/deals-day-idUSL3N0OE2A620140528?type=companyNews,0.9802,0.036,0.892,0.072
9,"  May 28 St. Jude Medical Inc said on Wednesday it plans to exercise its option to buy the shares of CardioMEMS it does not already own for $375 million following news the Food and Drug Administration has approved CardioMEMS's wireless heart device.The implantable device is designed for use in managing patients with heart failure. It records pulmonary artery pressure and transmits it to physicians, who can monitor it remotely and manage the condition.""FDA approval is in line with our expectation and a positive for St. Jude,"" Larry Biegelsen, an analyst at Wells Fargo Securities, said in a research note. He estimates CardioMEMS sales will reach $259 million annually by 2018.In September 2010, St. Jude paid $60 million for a 19 percent stake in CardioMEMS, with an exclusive option to buy the remaining 81 percent for $375 million. The company said it plans to exercise its option and expects to complete the acquisition in the second quarter of this year. St. Jude's shares rose 3.5 percent to $66.40 in afternoon trading on the New York Stock Exchange.Michael Weinstein, an analyst at J.P. Morgan, said CardioMEMs ""represents a key piece to the growth reacceleration story at St. Jude."" He added the CardioMEMS system ""has the chance to be one of the more meaningful technological advances in heart failure management in recent memory."" Heart failure occurs when the heart is unable to pump enough blood through the body to meet its demands, pushing up blood pressure in the heart. Increased pulmonary artery pressure can precede worsening heart failure. By being able to monitor a patient's pulmonary artery pressure remotely, physicians can manage a patients medications and reduce the likelihood of hospitalization.""The CardioMEMS HF System will not only improve the lives of patients but will also reduce the economic burden of this epidemic disease,"" Dr. Eric Fain, group president of St. Jude, said in a statement. ""We are delighted to have CardioMEMS become a part of St. Jude Medical.""Atlanta-based CardioMEMS was founded by Dr. Jay Yadav, a cardiologist and entrepreneur. Investors in the company include Arcapita Ventures, Boston Millennia Partners and Foundation Medical Partners.   (Reporting by Toni Clarke in Washington; Editing by Paul Simao)",2014-05-28,STJ,"Wed May 28, 2014 | 2:04pm EDT",St. Jude to acquire CardioMEMS following FDA approval of device,http://www.reuters.com//article/cardiome-pharma-st-jude-medical-idUSL1N0OE1I320140528?type=companyNews,0.1011,0.06,0.87,0.069
