,movie_id,gross
0,2703639,"$1,268,760 (USA) (3 May 2015)"
1,2703639,"$1,263,230 (USA) (26 April 2015)"
2,2703639,"$1,223,516 (USA) (12 April 2015)"
3,2703639,"$1,143,671 (USA) (5 April 2015)"
4,2703639,"$980,476 (USA) (29 March 2015)"
5,2703639,"$693,326 (USA) (22 March 2015)"
6,2703639,"$372,053 (USA) (15 March 2015)"
7,2703639,"$144,475 (USA) (8 March 2015)"
8,2703639,"$55,761 (USA) (1 March 2015)"
9,2705862,"$71,897,215 (USA) (22 May 2016)"
10,2705862,"$71,701,898 (USA) (15 May 2016)"
11,2705862,"$71,455,785 (USA) (8 May 2016)"
12,2705862,"$71,244,940 (USA) (1 May 2016)"
13,2705862,"$70,728,064 (USA) (24 April 2016)"
14,2705862,"$69,793,284 (USA) (17 April 2016)"
15,2705862,"$67,880,730 (USA) (10 April 2016)"
16,2705862,"$63,377,186 (USA) (3 April 2016)"
17,2705862,"$55,950,951 (USA) (27 March 2016)"
18,2705862,"$45,183,178 (USA) (20 March 2016)"
19,2705862,"$24,702,752 (USA) (13 March 2016)"
20,2705871,"$14,616 (USA) (22 November 2015)"
21,2706121,"$203,373 (USA) (30 May 2013)"
22,2706121,"$201,146 (USA) (7 October 2012)"
23,2706121,"$178,013 (USA) (30 September 2012)"
24,2706121,"$105,030 (USA) (23 September 2012)"
25,2706121,"$22,707 (USA) (16 September 2012)"
26,2706165,"$56,844 (USA) (14 August 2015)"
27,2706231,"$6,248 (USA) (1 September 2013)"
28,2706231,"$5,972 (USA) (14 July 2013)"
29,2706231,"$5,503 (USA) (7 July 2013)"
30,2706231,"$3,419 (USA) (30 June 2013)"
31,2707402,"$44,108 (USA) (2 February 2014)"
32,2707466,"$56,667,870 (USA) (5 May 2014)"
33,2707466,"$56,667,870 (USA) (4 May 2014)"
34,2707466,"$56,651,943 (USA) (27 April 2014)"
35,2707466,"$56,614,633 (USA) (20 April 2014)"
36,2707466,"$56,567,844 (USA) (13 April 2014)"
37,2707466,"$56,501,001 (USA) (6 April 2014)"
38,2707466,"$56,378,410 (USA) (30 March 2014)"
39,2707466,"$56,030,347 (USA) (23 March 2014)"
40,2707466,"$55,090,884 (USA) (16 March 2014)"
41,2707466,"$53,042,847 (USA) (9 March 2014)"
42,2707466,"$49,077,220 (USA) (23 February 2014)"
43,2707466,"$48,355,275 (USA) (16 February 2014)"
44,2707466,"$45,850,559 (USA) (2 February 2014)"
45,2707466,"$43,560,133 (USA) (26 January 2014)"
46,2707466,"$35,019,079 (USA) (8 December 2013)"
47,2707466,"$33,155,242 (USA) (1 December 2013)"
48,2707466,"$29,393,000 (USA) (24 November 2013)"
49,2707466,"$24,949,000 (USA) (17 November 2013)"
50,2707466,"$17,346,000 (USA) (10 November 2013)"
51,2707466,"$8,952,538 (USA) (3 November 2013)"
52,2707466,"$3,394,268 (USA) (27 October 2013)"
53,2707466,"$56,671,993 (USA)"
54,2707703,"$52,853,219 (USA) (25 May 2016)"
55,2707703,"$52,822,418 (USA) (20 March 2016)"
56,2707703,"$52,702,065 (USA) (13 March 2016)"
57,2707703,"$52,516,271 (USA) (6 March 2016)"
58,2707703,"$52,255,291 (USA) (28 February 2016)"
59,2707703,"$51,706,404 (USA) (21 February 2016)"
60,2707703,"$47,742,896 (USA) (7 February 2016)"
61,2707703,"$42,848,089 (USA) (31 January 2016)"
62,2707703,"$32,763,829 (USA) (24 January 2016)"
63,2707703,"$16,000,000 (USA) (17 January 2016)"
64,2707762,"$9,134 (USA) (20 April 2014)"
65,2708421,"$15,002 (USA) (11 November 2012)"
66,2708421,"$14,080 (USA) (4 November 2012)"
67,2708421,"$12,446 (USA) (7 October 2012)"
68,2708421,"$10,700 (USA) (30 September 2012)"
69,2708421,"$4,449 (USA) (23 September 2012)"
70,2709017,"$96,682 (USA) (13 September 2015)"
71,2709017,"$90,607 (USA) (21 August 2015)"
72,2709017,"$90,607 (USA) (15 July 2015)"
73,2710341,"$5,030 (USA) (15 June 2014)"
74,2710341,"$2,163 (USA) (8 June 2014)"
75,2710438,"$632,824 (USA) (11 November 2012)"
76,2710438,"$629,359 (USA) (4 November 2012)"
77,2710438,"$626,231 (USA) (28 October 2012)"
78,2710438,"$619,183 (USA) (21 October 2012)"
79,2710438,"$615,543 (USA) (14 October 2012)"
80,2710438,"$610,543 (USA) (7 October 2012)"
81,2710438,"$601,417 (USA) (30 September 2012)"
82,2710438,"$584,175 (USA) (23 September 2012)"
83,2710438,"$559,529 (USA) (16 September 2012)"
84,2710438,"$519,657 (USA) (9 September 2012)"
85,2710438,"$443,224 (USA) (2 September 2012)"
86,2710438,"$144,055 (USA) (19 August 2012)"
87,2710438,"$23,942 (USA) (12 August 2012)"
88,2710523,"$75,422,685 (USA) (13 October 2013)"
89,2710523,"$75,002,555 (USA) (29 September 2013)"
90,2710523,"$74,468,145 (USA) (22 September 2013)"
91,2710523,"$73,450,080 (USA) (15 September 2013)"
92,2710523,"$70,096,330 (USA) (1 September 2013)"
93,2710523,"$65,353,995 (USA) (25 August 2013)"
94,2710523,"$59,456,195 (USA) (18 August 2013)"
95,2710523,"$48,638,050 (USA) (11 August 2013)"
96,2710523,"$27,059,130 (USA) (4 August 2013)"
97,2710523,"$75,612,460 (USA)"
98,2710768,"$2,023,385 (USA) (4 May 2014)"
99,2710768,"$1,742,448 (USA) (27 April 2014)"
100,2710768,"$1,066,054 (USA) (20 April 2014)"
101,2711090,"$75,887 (USA) (28 September 2014)"
102,2711157,"$6,733 (USA) (16 June 2013)"
103,2712301,"$33,349,949 (USA) (7 October 2012)"
104,2712301,"$32,946,365 (USA) (30 September 2012)"
105,2712301,"$32,022,601 (USA) (23 September 2012)"
106,2712301,"$30,037,361 (USA) (16 September 2012)"
107,2712301,"$26,087,554 (USA) (9 September 2012)"
108,2712301,"$20,685,234 (USA) (2 September 2012)"
109,2712301,"$9,075,393 (USA) (26 August 2012)"
110,2712301,"$2,028,035 (USA) (19 August 2012)"
111,2712301,"$141,637 (USA) (5 August 2012)"
112,2712301,"$135,228 (USA) (29 July 2012)"
113,2712301,"$80,134 (USA) (22 July 2012)"
114,2712301,"$31,610 (USA) (15 July 2012)"
115,2712301,"$33,449,086 (USA)"
116,2712465,"$25,675,765 (USA) (12 May 2013)"
117,2712465,"$25,650,586 (USA) (5 May 2013)"
118,2712465,"$25,594,165 (USA) (28 April 2013)"
119,2712465,"$25,505,475 (USA) (21 April 2013)"
120,2712465,"$25,431,676 (USA) (14 April 2013)"
121,2712465,"$25,279,233 (USA) (7 April 2013)"
122,2712465,"$24,952,089 (USA) (31 March 2013)"
123,2712465,"$24,163,841 (USA) (24 March 2013)"
124,2712465,"$21,918,740 (USA) (17 March 2013)"
125,2712465,"$16,875,359 (USA) (10 March 2013)"
126,2712465,"$8,754,168 (USA) (3 March 2013)"
127,2712465,"$25,682,380 (USA)"
128,2712522,"$138,447,667 (USA) (1 July 2012)"
129,2712522,"$138,264,315 (USA) (24 June 2012)"
130,2712522,"$137,982,550 (USA) (17 June 2012)"
131,2712522,"$137,634,849 (USA) (10 June 2012)"
132,2712522,"$137,181,723 (USA) (3 June 2012)"
133,2712522,"$136,611,763 (USA) (27 May 2012)"
134,2712522,"$135,700,233 (USA) (20 May 2012)"
135,2712522,"$135,117,543 (USA) (13 May 2012)"
136,2712522,"$134,015,783 (USA) (6 May 2012)"
137,2712522,"$131,937,572 (USA) (29 April 2012)"
138,2712522,"$127,217,167 (USA) (22 April 2012)"
139,2712522,"$120,323,681 (USA) (15 April 2012)"
140,2712522,"$109,413,763 (USA) (8 April 2012)"
141,2712522,"$70,222,515 (USA) (25 March 2012)"
142,2712522,"$36,302,612 (USA) (18 March 2012)"
143,2712651,"$188,441,614 (USA) (3 August 2014)"
144,2712651,"$185,654,000 (USA) (27 July 2014)"
145,2712651,"$180,512,464 (USA) (20 July 2014)"
146,2712651,"$171,762,697 (USA) (13 July 2014)"
147,2712651,"$158,854,000 (USA) (6 July 2014)"
148,2712651,"$140,279,267 (USA) (29 June 2014)"
149,2712651,"$109,911,125 (USA) (22 June 2014)"
150,2712651,"$57,071,445 (USA) (15 June 2014)"
151,2712651,"$191,719,337 (USA)"
152,2713461,"$16,017 (USA) (2 December 2012)"
153,2713461,"$13,943 (USA) (23 November 2012)"
154,2713461,"$5,471 (USA) (18 November 2012)"
155,2713461,"$1,869 (USA) (11 November 2012)"
156,2713855,"$154,528 (USA) (26 April 2015)"
157,2713903,"$30,697,999 (USA) (15 May 2014)"
158,2713903,"$30,688,364 (USA) (11 May 2014)"
159,2713903,"$30,655,538 (USA) (4 May 2014)"
160,2713903,"$30,610,844 (USA) (27 April 2014)"
161,2713903,"$30,539,421 (USA) (20 April 2014)"
162,2713903,"$30,455,386 (USA) (13 April 2014)"
163,2713903,"$30,388,406 (USA) (6 April 2014)"
164,2713903,"$30,233,978 (USA) (30 March 2014)"
165,2713903,"$29,733,527 (USA) (23 March 2014)"
166,2713903,"$28,462,711 (USA) (16 March 2014)"
167,2713903,"$25,504,127 (USA) (9 March 2014)"
168,2713903,"$20,701,000 (USA) (2 March 2014)"
169,2713903,"$12,242,218 (USA) (23 February 2014)"
170,2714134,"$1,279 (USA) (5 April 2015)"
171,2714134,$876 (USA) (29 March 2015)
172,2714134,$234 (USA) (8 February 2015)
173,2714297,"$45,536 (USA) (26 September 2016)"
174,2714472,"$14,686 (USA) (29 July 2012)"
175,2714472,"$8,624 (USA) (22 July 2012)"
