,movie_id,vote
0,2703150,34
1,2703155,5
2,2703156,9
3,2703169,23
4,2703175,5
5,2703183,12
6,2703187,13
7,2703192,28
8,2703207,8
9,2703206,12
10,2703278,39
11,2703299,6
12,2703305,5
13,2703306,1766
14,2703346,340
15,2703354,6
16,2703359,139
17,2703373,61
18,2703377,27
19,2703381,628
20,2703384,24
21,2703394,13
22,2703397,21
23,2703406,90
24,2703425,12
25,2703435,7
26,2703437,5
27,2703446,5
28,2703448,460
29,2703476,8
30,2703486,6
31,2703491,79
32,2703510,33
33,2703512,40
34,2703513,9
35,2703517,10
36,2703519,12
37,2703227,162
38,2703250,7
39,2703284,16
40,2703292,20
41,2703362,5
42,2703443,6
43,2703478,55
44,2703497,10
45,2703567,1945
46,2703577,70
47,2703578,959
48,2703585,10
49,2703586,11
50,2703602,6
51,2703608,150
52,2703628,24
53,2703631,10
54,2703639,36446
55,2703640,6
56,2703642,29
57,2703654,181
58,2703862,21
59,2703933,19
60,2703981,7
61,2704009,14
62,2704098,7
63,2704148,5
64,2704160,15
65,2704262,8
66,2704320,13
67,2704321,33
68,2704350,6
69,2704481,18
70,2704051,22
71,2704054,30
72,2704059,11
73,2704492,10
74,2704498,7
75,2704504,6
76,2704508,624
77,2704519,6
78,2704538,876
79,2704553,5
80,2704572,5
81,2704583,9
82,2704592,326
83,2704625,39
84,2704633,30
85,2704645,5
86,2704646,28
87,2704651,63
88,2704672,464
89,2704676,6
90,2704684,1128
91,2704691,6
92,2704713,9
93,2704715,18
94,2704724,7
95,2704727,14
96,2704745,6428
97,2704753,5
98,2704755,40
99,2704772,135
100,2704776,10
101,2705018,10
102,2705024,9
103,2705032,24
104,2705053,8
105,2705057,18
106,2705165,84
107,2704947,174
108,2705213,47
109,2705256,22
110,2705265,8
111,2705280,6
112,2705291,157
113,2705295,13
114,2705296,956
115,2705312,14
116,2705315,6
117,2705343,312
118,2705344,311
119,2705356,7
120,2705369,6
121,2705384,5
122,2705386,23
123,2705392,103
124,2705393,151
125,2705443,40
126,2705450,13
127,2705456,32
128,2705468,2643
129,2705477,35387
130,2705478,12
131,2705480,6
132,2705502,299
133,2705512,27
134,2705543,224
135,2705547,9
136,2705568,23
137,2705575,6
138,2705607,96
139,2705631,30
140,2705635,5
141,2705501,259
142,2705597,11
143,2705601,6
144,2705610,9
145,2705649,8
146,2705691,24
147,2705698,8
148,2705715,8
149,2705779,16
150,2705782,24
151,2705785,11
152,2705805,5
153,2705818,9
154,2705820,9
155,2705830,555
156,2705835,9
157,2705846,5
158,2705859,304
159,2705862,147192
160,2705866,5
161,2705871,333
162,2705896,600
163,2705907,35
164,2705908,10
165,2705911,15
166,2705963,5
167,2705964,20
168,2705966,6
169,2705968,96
170,2705988,86
171,2705989,5
172,2706052,2225
173,2706076,6
174,2706083,58
175,2706084,11
176,2706119,10
177,2706121,18789
178,2706125,5
179,2705837,5
180,2705863,6
181,2705904,9
182,2705922,122
183,2706026,23
184,2706033,164
185,2706048,28
186,2706049,316
187,2706140,23
188,2706141,737
189,2706143,186
190,2706153,412
191,2706165,3526
192,2706187,9
193,2706189,64
194,2706190,866
195,2706191,2916
196,2706193,150
197,2706201,17
198,2706231,2696
199,2706253,750
200,2706255,49
201,2706257,1488
202,2706270,793
203,2706322,7
204,2706369,5
205,2706378,16
206,2706391,8
207,2706447,117
208,2706220,5
209,2706324,49
210,2706327,17
211,2706533,1845
212,2706534,133
213,2706503,462
214,2706585,11
215,2706589,43
216,2706600,8
217,2706637,29
218,2706641,12
219,2706657,11
220,2706676,31
221,2706677,6
222,2706685,36
223,2706703,921
224,2706706,39
225,2706715,10
226,2706716,9
227,2706748,56
228,2706791,9
229,2706804,107
230,2706749,286
231,2706816,10
232,2706895,70
233,2706897,77
234,2706914,7
235,2706934,67
236,2706959,64
237,2706950,24
238,2706989,101
239,2706997,13
240,2707011,20
241,2707029,11
242,2707013,798
243,2707036,1131
244,2707039,41
245,2707056,11130
246,2707058,13
247,2707063,8
248,2707067,13
249,2707073,1644
250,2707075,12
251,2707117,6
252,2707126,10
253,2707150,10
254,2707167,23
255,2707224,11
256,2707225,25
257,2707226,5
258,2707232,8
259,2707256,149
260,2707267,6
261,2707271,16
262,2707277,7
263,2707297,12
264,2707302,16
265,2707315,118
266,2707316,254
267,2707317,9
268,2707354,6
269,2707358,57
270,2707370,11
271,2707402,1077
272,2707410,28
273,2707421,4009
274,2707422,2316
275,2707428,112
276,2707466,450991
277,2707469,24
278,2707285,71
279,2707326,191
280,2707360,81
281,2707361,9
282,2707398,12
283,2707471,39
284,2707474,103
285,2707488,1216
286,2707491,6
287,2707502,22
288,2707524,23
289,2707559,12
290,2707573,17
291,2707595,7
292,2707676,2074
293,2707677,7
294,2707700,11
295,2707703,58344
296,2707761,191
297,2707762,24216
298,2707765,9
299,2707651,11
300,2707786,7
301,2707796,1919
302,2707799,16
303,2707806,5
304,2707829,10
305,2707836,35
306,2707849,28
307,2707862,2388
308,2707896,57
309,2707918,12
310,2707941,5
311,2707942,5
312,2707944,5
313,2707964,472
314,2707987,8
315,2707992,8
316,2707997,8
317,2708007,8
318,2708008,5
319,2708016,67
320,2708022,52
321,2708042,10
322,2708074,13
323,2708149,5
324,2708158,14
325,2708164,22
326,2708170,44
327,2708174,20
328,2708088,597
329,2708107,10
330,2708172,62
331,2708178,21
332,2708192,18
333,2708219,10
334,2708220,36
335,2708247,31
336,2708279,223
337,2708314,14
338,2708317,44
339,2708325,10
340,2708280,111
341,2708282,419
342,2708320,55
343,2708331,1348
344,2708342,7
345,2708354,7
346,2708363,353
347,2708430,10
348,2708431,940
349,2708440,27
350,2708402,10
351,2708405,63
352,2708421,2583
353,2708444,5
354,2708465,459
355,2708544,5
356,2708685,14
357,2708712,8
358,2708750,5
359,2708777,599
360,2708778,39
361,2708791,99
362,2708795,30
363,2708801,13
364,2708816,6
365,2708828,247
366,2708857,424
367,2708874,9
368,2708894,8
369,2708934,104
370,2708990,13
371,2709007,9
372,2709017,2005
373,2709038,5
374,2709044,1207
375,2709045,773
376,2709046,1236
377,2709103,2757
